Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_0-0
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_65-155
133.98,71.34,458,425,34,30,1165.8357723636932,1796.68400340847,AAPL_15-115
133.98,-35.22,2009,1989,1470,1439,814.9601249080932,1796.68400340847,AAPL_5-210
133.98,-56.2,112,99,75,0,943.7704390094357,1796.68400340847,AAPL_25-20
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_55-250
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_40-135
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_50-40
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_75-60
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_80-270
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_100-80
133.98,92.89,196,163,0,0,1479.7541654167105,1796.68400340847,AAPL_30-230
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_90-175
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_105-290
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_115-195
133.98,-69.25,869,869,811,809,1041.0447652827122,1796.68400340847,AAPL_0-5
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_65-160
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_80-275
133.98,-34.65,2086,2061,1459,1428,803.8092023904442,1796.68400340847,AAPL_5-215
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_55-255
133.98,-17.5,118,108,74,0,347.37085330418813,1796.68400340847,AAPL_25-25
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_50-45
133.98,71.34,459,426,33,29,1165.8357723518125,1796.68400340847,AAPL_15-120
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_40-140
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_90-180
133.98,92.89,196,163,0,0,1479.7541654167105,1796.68400340847,AAPL_30-235
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_75-65
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_105-295
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_100-85
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_115-200
133.98,-72.47,1106,1105,1040,1038,1062.4207861275918,1796.68400340847,AAPL_0-10
133.98,-32.42,2095,2068,1380,1349,809.9490551567437,1796.68400340847,AAPL_5-220
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_55-260
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_80-280
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_65-165
133.98,71.34,459,426,33,29,1165.8357723518125,1796.68400340847,AAPL_15-125
133.98,79.31,131,119,68,0,1265.4516730152861,1796.68400340847,AAPL_25-30
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_50-50
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_90-185
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_100-90
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_40-145
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_75-70
133.98,92.89,196,163,0,0,1479.7541654167105,1796.68400340847,AAPL_30-240
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_105-300
133.98,84.45,32,0,0,0,1347.198514462447,1796.68400340847,AAPL_115-205
133.98,-75.09,1222,1221,1122,1120,1140.6914299178445,1796.68400340847,AAPL_0-15
133.98,-57.34,2086,2060,1485,1454,878.8099406271652,1796.68400340847,AAPL_5-225
