Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-0
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_30-230
31.5,1.87,20,0,8,0,300.38395003235337,604.9850684458484,AMZN_65-155
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_55-250
31.5,-1.47,25,0,3,0,169.0487470849823,604.9850684458484,AMZN_50-40
31.5,-20.38,897,896,671,671,529.1082362702062,604.9850684458484,AMZN_5-210
31.5,1.75,23,0,5,0,288.2426394316218,604.9850684458484,AMZN_75-60
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_80-270
31.5,-0.74,189,167,147,119,249.0927982806278,604.9850684458484,AMZN_15-115
31.5,0.48,23,0,5,0,138.90859223536347,604.9850684458484,AMZN_90-175
31.5,1.93,18,0,10,0,306.0257186021248,604.9850684458484,AMZN_40-135
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_100-80
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_105-290
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_115-195
31.5,0.72,51,19,31,14,139.7857412685521,604.9850684458484,AMZN_25-20
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_65-160
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_55-255
31.5,1.84,22,0,6,0,297.53520152050464,604.9850684458484,AMZN_75-65
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_30-235
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_50-45
31.5,-49.51,416,416,421,421,847.142094338189,604.9850684458484,AMZN_0-5
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_80-275
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_90-180
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_100-85
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_105-295
31.5,-0.73,188,166,148,120,249.54184222391575,604.9850684458484,AMZN_15-120
31.5,1.93,18,0,10,0,306.0257186021248,604.9850684458484,AMZN_40-140
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_115-200
31.5,-31.05,1007,1003,640,640,616.1261805689766,604.9850684458484,AMZN_5-215
31.5,0.51,56,22,26,6,139.16416817700252,604.9850684458484,AMZN_25-25
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_65-165
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_55-260
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_75-70
31.5,-1.47,25,0,3,0,169.0487470849823,604.9850684458484,AMZN_90-185
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_80-280
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_30-240
31.5,-54.47,554,552,550,550,888.6768824807456,604.9850684458484,AMZN_0-10
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_105-300
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_50-50
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_100-90
31.5,-0.73,188,166,148,120,249.54184222391575,604.9850684458484,AMZN_15-125
31.5,1.87,20,0,8,0,300.38395003235337,604.9850684458484,AMZN_40-145
31.5,-19.91,1040,1035,741,741,376.30485881342315,604.9850684458484,AMZN_5-220
31.5,-1.21,56,25,25,4,171.48079386399806,604.9850684458484,AMZN_25-30
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_115-205
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_55-265
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_65-170
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_75-75
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_80-285
31.5,-1.68,26,0,2,0,207.63891948737523,604.9850684458484,AMZN_90-190
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_110-0
31.5,-51.69,607,605,623,623,838.6236360936995,604.9850684458484,AMZN_0-15
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_30-245
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_100-95
31.5,1.87,20,0,8,0,300.38395003235337,604.9850684458484,AMZN_40-150
31.5,-0.7,180,159,149,121,251.313603473222,604.9850684458484,AMZN_15-130
31.5,1.75,23,0,5,0,288.2426394316218,604.9850684458484,AMZN_50-55
31.5,-20.64,1039,1034,733,733,378.18561224592264,604.9850684458484,AMZN_5-225
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_115-210
31.5,-1.21,54,25,27,3,171.48085053180728,604.9850684458484,AMZN_25-35
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_55-270
31.5,0.48,23,0,5,0,138.90859223536347,604.9850684458484,AMZN_65-175
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_90-195
31.5,1.84,21,0,7,0,298.11309687875706,604.9850684458484,AMZN_75-80
31.5,-64.54,650,650,663,663,1061.0700782953436,604.9850684458484,AMZN_0-20
31.5,-2.14,28,0,0,0,305.130231706047,604.9850684458484,AMZN_30-250
31.5,-1.46,12,0,16,0,168.45105063897745,604.9850684458484,AMZN_110-5
31.5,0.48,24,0,4,0,138.32978427530475,604.9850684458484,AMZN_100-100
31.5,1.87,20,0,8,0,300.38395003235337,604.9850684458484,AMZN_40-155
31.5,-0.61,157,139,151,123,255.7275727031455,604.9850684458484,AMZN_15-135
31.5,1.75,23,0,5,0,288.2426394316218,604.9850684458484,AMZN_50-60
