Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
90.28,0.0,0,0,0,0,0.0,2106.6973001722254,GOOG_0-0
90.28,59.77,227,198,20,0,1683.8073050783623,2106.6973001722254,GOOG_15-115
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_30-230
90.28,5.62,1048,1026,535,508,196.14056920452637,2106.6973001722254,GOOG_5-210
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_50-40
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_80-270
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_55-250
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_25-20
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_65-155
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_40-135
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_90-175
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_105-290
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_100-80
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_75-60
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_115-195
90.28,-37.64,369,369,322,322,694.6718080845264,2106.6973001722254,GOOG_0-5
90.28,59.77,227,198,20,0,1683.8073050783623,2106.6973001722254,GOOG_15-120
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_80-275
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_55-255
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_40-140
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_25-25
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_50-45
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_30-235
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_65-160
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_115-200
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_105-295
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_90-180
90.28,-38.26,872,850,516,489,993.9847509659784,2106.6973001722254,GOOG_5-215
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_75-65
90.28,-46.16,525,525,437,437,775.2669374772154,2106.6973001722254,GOOG_0-10
90.28,61.39,29,0,0,0,1724.8354727751166,2106.6973001722254,GOOG_100-85
90.28,59.77,228,199,18,0,1684.0228824253848,2106.6973001722254,GOOG_15-125
