Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
30.58,0.0,0,0,0,0,0.0,439.80162570735325,JNJ_0-0
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_30-230
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_55-250
30.58,28.37,18,0,14,0,404.4246020546937,439.80162570735325,JNJ_25-20
30.58,28.84,25,0,7,0,411.0232610518159,439.80162570735325,JNJ_50-40
30.58,20.96,23,0,9,0,299.103219104699,439.80162570735325,JNJ_40-135
30.58,28.37,24,0,8,0,404.4253648331449,439.80162570735325,JNJ_65-155
30.58,3.05,1141,1121,511,485,226.95950647412917,439.80162570735325,JNJ_5-210
30.58,30.54,178,146,49,23,425.87572204889784,439.80162570735325,JNJ_15-115
30.58,28.84,25,0,7,0,411.0232610518159,439.80162570735325,JNJ_90-175
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_80-270
30.58,29.26,29,0,3,0,416.94288442474607,439.80162570735325,JNJ_75-60
30.58,29.29,31,0,1,0,417.36035806152756,439.80162570735325,JNJ_100-80
30.58,29.29,31,0,1,0,417.36035806152756,439.80162570735325,JNJ_115-195
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_105-290
30.58,-42.5,406,406,377,377,704.6246586726072,439.80162570735325,JNJ_0-5
30.58,28.37,18,0,14,0,404.4246020546937,439.80162570735325,JNJ_25-25
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_55-255
30.58,28.37,24,0,8,0,404.4253648331449,439.80162570735325,JNJ_65-160
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_30-235
30.58,28.84,25,0,7,0,411.0232610518159,439.80162570735325,JNJ_50-45
30.58,30.54,178,146,49,23,425.87572204889784,439.80162570735325,JNJ_15-120
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_80-275
30.58,19.11,22,0,10,0,272.8773116603376,439.80162570735325,JNJ_40-140
30.58,4.74,1188,1168,518,492,223.79042961267254,439.80162570735325,JNJ_5-215
30.58,29.29,31,0,1,0,417.36035806152756,439.80162570735325,JNJ_100-85
30.58,29.25,28,0,4,0,416.8392699335385,439.80162570735325,JNJ_90-180
30.58,29.29,31,0,1,0,417.36035806152756,439.80162570735325,JNJ_75-65
30.58,29.29,31,0,1,0,417.36035806152756,439.80162570735325,JNJ_115-200
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_105-295
30.58,29.3,32,0,0,0,417.5712416826803,439.80162570735325,JNJ_30-240
