Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
64.35,0.0,0,0,0,0,0.0,1367.7712053709163,MSFT_0-0
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_30-230
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_55-250
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_40-135
64.35,3.51,1595,1551,959,958,341.9698847855399,1367.7712053709163,MSFT_5-210
64.35,34.19,25,0,7,0,1051.2555627727527,1367.7712053709163,MSFT_25-20
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_75-60
64.35,32.46,224,192,0,0,1008.9482295296114,1367.7712053709163,MSFT_15-115
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_90-175
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_80-270
64.35,34.19,31,0,1,0,1051.265515286601,1367.7712053709163,MSFT_50-40
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_105-290
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_100-80
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_65-155
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_115-195
64.35,-55.87,640,639,584,583,886.8396927919522,1367.7712053709163,MSFT_0-5
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_40-140
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_55-255
64.35,2.71,1562,1517,964,963,332.48712625899407,1367.7712053709163,MSFT_5-215
64.35,34.19,25,0,7,0,1051.2555627727527,1367.7712053709163,MSFT_25-25
64.35,32.46,224,192,0,0,1008.9482295296114,1367.7712053709163,MSFT_15-120
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_80-275
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_90-180
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_30-235
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_75-65
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_100-85
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_105-295
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_50-45
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_65-160
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_115-200
64.35,-64.18,834,833,776,775,998.3216792037895,1367.7712053709163,MSFT_0-10
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_40-145
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_55-260
64.35,32.46,224,192,0,0,1008.9482295296114,1367.7712053709163,MSFT_15-125
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_80-280
64.35,34.19,30,0,2,0,1051.2650147512759,1367.7712053709163,MSFT_25-30
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_105-300
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_30-240
64.35,-3.36,1536,1505,944,943,285.2677843220696,1367.7712053709163,MSFT_5-220
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_90-185
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_75-70
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_50-50
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_65-165
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_100-90
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_115-205
64.35,-65.79,898,897,845,844,1019.7274507793334,1367.7712053709163,MSFT_0-15
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_40-150
64.35,34.19,32,0,0,0,1051.2675268273556,1367.7712053709163,MSFT_55-265
