Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
187.77,0.0,0,0,0,0,0.0,4799.347026613328,NVDA_0-0
187.77,-98.93,52,36,23,0,3234.9402080419427,4799.347026613328,NVDA_25-20
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_55-250
187.77,99.65,66,33,0,0,3257.2843271424676,4799.347026613328,NVDA_40-135
187.77,-98.99,32,16,17,0,3236.797082349153,4799.347026613328,NVDA_50-40
187.77,84.29,290,253,159,135,2865.671698605595,4799.347026613328,NVDA_15-115
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_65-155
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_90-175
187.77,-98.99,12,0,21,0,3236.842554422891,4799.347026613328,NVDA_75-60
187.77,-98.99,12,0,21,0,3236.842554422891,4799.347026613328,NVDA_100-80
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_80-270
187.77,-68.6,1481,1452,1102,1099,1673.7130960578277,4799.347026613328,NVDA_5-210
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_115-195
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_105-290
187.77,96.2,99,66,0,0,3173.5451101897734,4799.347026613328,NVDA_30-230
187.77,-61.77,609,609,590,590,966.4630916481956,4799.347026613328,NVDA_0-5
187.77,-98.99,50,33,17,0,3236.7039349434317,4799.347026613328,NVDA_25-25
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_55-255
187.77,-98.99,28,14,19,0,3236.8334609424414,4799.347026613328,NVDA_50-45
187.77,84.29,290,253,159,135,2865.671698605595,4799.347026613328,NVDA_15-120
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_90-180
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_65-160
187.77,99.65,66,33,0,0,3257.2843271424676,4799.347026613328,NVDA_40-140
187.77,48.35,15,0,18,0,1598.2419621564145,4799.347026613328,NVDA_100-85
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_80-275
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_115-200
187.77,-76.2,1326,1296,1038,1035,1879.228286359874,4799.347026613328,NVDA_5-215
187.77,96.2,99,66,0,0,3173.5451101897734,4799.347026613328,NVDA_30-235
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_105-295
187.77,-68.77,789,788,751,751,1090.0297079635395,4799.347026613328,NVDA_0-10
187.77,-98.99,12,0,21,0,3236.842554422891,4799.347026613328,NVDA_75-65
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_55-260
187.77,-98.99,26,13,20,0,3236.8364885361666,4799.347026613328,NVDA_50-50
187.77,-98.57,66,42,15,0,3222.990138564853,4799.347026613328,NVDA_25-30
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_90-185
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_80-280
187.77,48.73,17,0,16,0,1610.7161435857604,4799.347026613328,NVDA_100-90
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_115-205
187.77,99.65,66,33,0,0,3257.2843271424676,4799.347026613328,NVDA_40-145
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_65-165
187.77,84.29,291,254,158,134,2865.7074160266243,4799.347026613328,NVDA_15-125
187.77,-75.21,1529,1499,1035,1032,1849.9640822376264,4799.347026613328,NVDA_5-220
187.77,96.2,99,66,0,0,3173.5451101897734,4799.347026613328,NVDA_30-240
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_105-300
187.77,-98.99,12,0,21,0,3236.842554422891,4799.347026613328,NVDA_75-70
187.77,-63.3,856,855,800,800,1045.7262411660195,4799.347026613328,NVDA_0-15
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_90-190
187.77,-98.94,60,39,15,0,3235.1790037780443,4799.347026613328,NVDA_25-35
187.77,-98.99,24,12,21,0,3236.8424904923954,4799.347026613328,NVDA_50-55
187.77,48.97,20,0,13,0,1618.6103657503866,4799.347026613328,NVDA_100-95
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_55-265
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_115-210
187.77,99.65,66,33,0,0,3257.2843271424676,4799.347026613328,NVDA_40-150
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_80-285
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_65-170
187.77,0.0,0,0,0,0,0.0,4799.347026613328,NVDA_110-0
187.77,96.2,99,66,0,0,3173.5451101897734,4799.347026613328,NVDA_30-245
187.77,86.77,287,254,102,88,2930.844463668491,4799.347026613328,NVDA_15-130
187.77,-67.68,1708,1678,1054,1051,1636.0189927145468,4799.347026613328,NVDA_5-225
187.77,-98.99,12,0,21,0,3236.842554422891,4799.347026613328,NVDA_75-75
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_90-195
187.77,-81.85,892,892,841,841,1374.2705617130714,4799.347026613328,NVDA_0-20
187.77,-98.99,24,12,21,0,3236.8424904923954,4799.347026613328,NVDA_50-60
187.77,-98.99,48,32,17,0,3236.7985894912317,4799.347026613328,NVDA_25-40
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_55-270
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_115-215
187.77,62.22,24,0,9,0,2050.291993336681,4799.347026613328,NVDA_100-100
187.77,99.65,66,33,0,0,3257.2843271424676,4799.347026613328,NVDA_40-155
187.77,98.8,33,0,0,0,3235.6563799449577,4799.347026613328,NVDA_80-290
187.77,96.2,99,66,0,0,3173.5451101897734,4799.347026613328,NVDA_30-250
