,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
0,50-1,73.175,51.705,50,1
1,50-10,73.175,66.08125,50,10
2,50-11,73.175,67.7775,50,11
3,50-12,73.175,65.79125,50,12
4,50-13,73.175,65.3875,50,13
5,50-14,73.175,65.14375,50,14
6,50-15,73.175,67.50125,50,15
7,50-16,73.175,69.6675,50,16
8,50-17,73.175,71.67,50,17
9,50-18,73.175,72.39375,50,18
10,50-19,73.175,72.895,50,19
11,50-2,73.175,60.73875,50,2
12,50-20,73.175,74.0175,50,20
13,50-21,73.175,71.6325,50,21
14,50-22,73.175,75.6825,50,22
15,50-23,73.175,74.27875,50,23
16,50-24,73.175,71.96625,50,24
17,50-25,73.175,73.89625,50,25
18,50-26,73.175,74.8675,50,26
19,50-27,73.175,74.05125,50,27
20,50-28,73.175,74.01,50,28
21,50-29,73.175,74.39625,50,29
22,50-3,73.175,56.34625,50,3
23,50-30,73.175,72.09625,50,30
24,50-31,73.175,68.6325,50,31
25,50-32,73.175,68.59375,50,32
26,50-33,73.175,69.44875,50,33
27,50-34,73.175,72.5275,50,34
28,50-35,73.175,72.8375,50,35
29,50-36,73.175,73.67625,50,36
30,50-37,73.175,74.07625,50,37
31,50-38,73.175,71.61875,50,38
32,50-39,73.175,73.745,50,39
33,50-4,73.175,59.065,50,4
34,50-40,73.175,78.34125,50,40
35,50-41,73.175,80.68125,50,41
36,50-42,73.175,81.58375000000001,50,42
37,50-43,73.175,82.28,50,43
38,50-44,73.175,76.2875,50,44
39,50-45,73.175,77.32875,50,45
40,50-46,73.175,76.14,50,46
41,50-47,73.175,74.39,50,47
42,50-48,73.175,74.5125,50,48
43,50-49,73.175,74.00375,50,49
44,50-5,73.175,60.418749999999996,50,5
45,50-50,73.175,0.0,50,50
46,50-51,73.175,0.4987499999999997,50,51
47,50-52,73.175,0.7712500000000001,50,52
48,50-53,73.175,0.8975000000000003,50,53
49,50-54,73.175,-0.6112499999999997,50,54
50,50-55,73.175,-0.16625000000000034,50,55
51,50-56,73.175,-0.6487499999999994,50,56
52,50-57,73.175,-1.1775000000000002,50,57
53,50-58,73.175,-0.7900000000000001,50,58
54,50-59,73.175,-0.4062500000000001,50,59
55,50-6,73.175,63.81375,50,6
56,50-60,73.175,-0.7137500000000002,50,60
57,50-61,73.175,-0.6475000000000001,50,61
58,50-62,73.175,-0.24499999999999977,50,62
59,50-63,73.175,0.24124999999999985,50,63
