,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
0,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_0-0
1,133.98,-9.15,39,39,39,39,214.145541141996,1796.68400340847,AAPL_5-210
2,133.98,-20.77,77,77,76,76,282.331752584598,1796.68400340847,AAPL_50-40
3,133.98,-7.85,21,21,22,22,123.98350217688504,1796.68400340847,AAPL_30-230
4,133.98,-9.85,39,39,38,38,186.43963160139816,1796.68400340847,AAPL_15-115
5,133.98,-8.75,27,27,28,28,164.66692871741662,1796.68400340847,AAPL_40-135
6,133.98,-51.22,157,156,151,151,751.2070072497143,1796.68400340847,AAPL_25-20
7,133.98,-10.1,20,20,21,21,175.3857434894916,1796.68400340847,AAPL_65-155
8,133.98,-20.11,60,60,60,60,328.6236049118686,1796.68400340847,AAPL_75-60
9,133.98,-0.02,10,10,11,11,25.9746032580842,1796.68400340847,AAPL_105-290
10,133.98,-7.94,19,19,20,20,145.94310127168075,1796.68400340847,AAPL_90-175
11,133.98,-17.24,40,40,40,40,310.3182492179059,1796.68400340847,AAPL_100-80
12,133.98,-4.77,17,17,18,18,98.31514288700002,1796.68400340847,AAPL_115-195
13,133.98,-7.07,16,16,17,17,119.57689784505632,1796.68400340847,AAPL_55-250
14,133.98,-4.02,13,13,14,14,71.65571554321684,1796.68400340847,AAPL_80-270
15,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_0-5
16,133.98,-6.46,36,36,36,36,168.77151988908736,1796.68400340847,AAPL_5-215
17,133.98,-9.35,20,20,21,21,155.22972825091105,1796.68400340847,AAPL_30-235
18,133.98,-17.22,38,38,38,38,327.0109726711197,1796.68400340847,AAPL_15-120
19,133.98,-13.4,20,20,20,20,202.1595940632948,1796.68400340847,AAPL_65-160
20,133.98,-28.69,66,66,65,65,434.73331565730734,1796.68400340847,AAPL_75-65
21,133.98,-31.34,101,101,94,94,515.8300576618334,1796.68400340847,AAPL_50-45
22,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_25-25
23,133.98,-1.41,10,10,11,11,28.382271395642828,1796.68400340847,AAPL_105-295
24,133.98,-12.76,26,26,27,27,211.812114707208,1796.68400340847,AAPL_40-140
25,133.98,-2.21,15,15,16,16,43.557229213961726,1796.68400340847,AAPL_55-255
26,133.98,-5.89,18,18,19,19,104.51422349854788,1796.68400340847,AAPL_90-180
27,133.98,-7.99,12,12,13,13,106.68201929324606,1796.68400340847,AAPL_80-275
28,133.98,-24.37,45,45,45,45,378.7097603977063,1796.68400340847,AAPL_100-85
29,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_0-10
30,133.98,-5.15,17,17,18,18,91.53409510727492,1796.68400340847,AAPL_115-200
31,133.98,-11.01,39,39,35,35,219.70139039931863,1796.68400340847,AAPL_5-220
