Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_0-0
133.98,-85.52,1421,1421,1230,1228,1125.7734049932124,1796.68400340847,AAPL_0-25
133.98,-85.78,1605,1605,1258,1256,1114.2353932392566,1796.68400340847,AAPL_0-50
133.98,-25.87,2403,2402,2150,2144,638.7953333261239,1796.68400340847,AAPL_5-20
133.98,-85.94,1667,1667,1257,1255,1108.2941954786907,1796.68400340847,AAPL_0-75
133.98,37.0,169,154,137,120,607.9629744186672,1796.68400340847,AAPL_20-5
133.98,-26.44,2591,2588,1955,1951,642.0576888019157,1796.68400340847,AAPL_5-45
133.98,29.25,1034,1023,767,746,389.59719758244023,1796.68400340847,AAPL_10-65
133.98,-33.8,2594,2591,1901,1897,762.2513827628576,1796.68400340847,AAPL_5-70
133.98,50.01,963,936,851,845,622.5776417145483,1796.68400340847,AAPL_10-15
133.98,5.55,398,373,354,347,816.5992494672884,1796.68400340847,AAPL_15-35
133.98,30.57,981,963,818,804,395.8805732921912,1796.68400340847,AAPL_10-40
133.98,100.78,196,184,111,90,1476.3318964360142,1796.68400340847,AAPL_20-30
133.98,14.06,381,356,369,362,554.117387897594,1796.68400340847,AAPL_15-10
133.98,7.56,458,440,293,279,835.2692939785204,1796.68400340847,AAPL_15-60
133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_5-0
133.98,-77.96,937,937,852,850,1081.1759041279915,1796.68400340847,AAPL_0-5
133.98,-85.73,1452,1452,1239,1237,1105.8308668114232,1796.68400340847,AAPL_0-30
133.98,-85.98,1619,1619,1294,1292,1098.1756282101683,1796.68400340847,AAPL_0-55
133.98,52.01,163,147,144,127,695.1812176260842,1796.68400340847,AAPL_20-10
133.98,-28.29,2464,2462,2087,2082,599.6057371836677,1796.68400340847,AAPL_5-25
133.98,29.17,1040,1029,762,741,389.54895538301446,1796.68400340847,AAPL_10-70
133.98,-32.11,2600,2597,1922,1918,733.7688373328943,1796.68400340847,AAPL_5-50
133.98,6.77,421,399,331,321,824.5251407555007,1796.68400340847,AAPL_15-40
133.98,-34.48,2600,2597,1885,1881,788.3580203596393,1796.68400340847,AAPL_5-75
133.98,41.47,955,928,856,851,479.76317507357606,1796.68400340847,AAPL_10-20
133.98,29.98,1012,999,788,769,392.54864800407233,1796.68400340847,AAPL_10-45
133.98,-14.16,371,346,378,371,897.4814525143455,1796.68400340847,AAPL_15-15
133.98,100.87,213,198,94,76,1477.6919143239086,1796.68400340847,AAPL_20-35
133.98,8.05,462,446,290,274,842.386595612964,1796.68400340847,AAPL_15-65
133.98,-84.2,1191,1191,1097,1095,1165.0092048678885,1796.68400340847,AAPL_0-10
133.98,-57.51,2323,2323,2212,2205,869.6105034156963,1796.68400340847,AAPL_5-5
133.98,-86.17,1503,1503,1247,1245,1087.2128376561852,1796.68400340847,AAPL_0-35
133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_10-0
133.98,-86.21,1640,1640,1293,1291,1112.6463738191283,1796.68400340847,AAPL_0-60
133.98,56.02,169,154,137,120,867.5208200960728,1796.68400340847,AAPL_20-15
133.98,29.2,1038,1027,762,741,389.9142088041259,1796.68400340847,AAPL_10-75
133.98,7.09,439,419,313,301,828.3191232179581,1796.68400340847,AAPL_15-45
133.98,35.87,949,924,859,852,426.31001426998273,1796.68400340847,AAPL_10-25
133.98,28.5,1041,1030,760,739,384.7812652337681,1796.68400340847,AAPL_10-50
133.98,-29.39,2495,2493,2054,2049,630.4562909153025,1796.68400340847,AAPL_5-30
