Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
127.17,0.0,0,0,0,0,0.0,1797.5557137089952,AAPL_1-1
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-171
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-176
127.17,73.96,4,3,0,0,1135.6155007932925,1797.5557137089952,AAPL_51-11
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-16
127.17,42.68,8,8,0,0,758.2478311703322,1797.5557137089952,AAPL_26-6
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-341
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-181
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_6-336
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-351
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-346
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-186
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-191
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-356
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_101-21
127.17,4.98,29,28,0,0,215.2736069092647,1797.5557137089952,AAPL_1-6
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-176
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-181
127.17,75.73,5,4,0,0,1251.9959545482436,1797.5557137089952,AAPL_51-16
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-346
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_6-341
127.17,59.22,6,5,0,0,955.0496467636465,1797.5557137089952,AAPL_26-11
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-356
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-21
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-351
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-196
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-191
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-361
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_101-26
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-186
127.17,-2.27,21,20,0,0,156.3632043777197,1797.5557137089952,AAPL_1-11
127.17,108.3,2,1,0,0,1462.700725971011,1797.5557137089952,AAPL_51-21
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-186
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-351
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-181
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_6-346
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-361
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-356
127.17,77.77,5,4,0,0,1195.350552711574,1797.5557137089952,AAPL_26-16
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-26
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-366
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-196
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-201
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_101-31
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-191
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-191
127.17,11.84,17,16,0,0,215.5414469492419,1797.5557137089952,AAPL_1-16
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_51-26
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-361
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-366
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_6-351
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-356
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-371
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-186
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-31
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-201
127.17,72.97,4,3,0,0,1200.3296935184535,1797.5557137089952,AAPL_26-21
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-206
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_101-36
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-196
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_51-31
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-196
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-366
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-371
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-191
127.17,10.79,15,14,0,0,196.45507566561267,1797.5557137089952,AAPL_1-21
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-361
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-206
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-376
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-211
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-36
127.17,0.0,0,0,0,0,0.0,1797.5557137089952,AAPL_26-26
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-201
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_101-41
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_6-356
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_41-201
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_56-371
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_51-36
127.17,14.81,14,13,0,0,216.0405662522128,1797.5557137089952,AAPL_1-26
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_81-376
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_16-196
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_106-381
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_116-216
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_31-366
127.17,126.12,1,0,0,0,1789.2264913890551,1797.5557137089952,AAPL_76-41
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_91-211
127.17,29.48,4,4,0,0,412.2363317767364,1797.5557137089952,AAPL_26-31
127.17,0.62,1,1,0,0,0.5358356677340113,1797.5557137089952,AAPL_66-206
