Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-0
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_5-0
31.5,-20.57,3,3,0,0,368.743407236207,604.9850684458484,AMZN_6-20
31.5,-30.63,9,9,0,0,517.3204994998177,604.9850684458484,AMZN_2-15
31.5,-30.2,10,10,0,0,494.2040597408244,604.9850684458484,AMZN_1-20
31.5,-10.68,2,2,0,0,220.7560227957162,604.9850684458484,AMZN_5-25
31.5,-30.19,6,5,0,0,450.5414871200491,604.9850684458484,AMZN_3-10
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-25
31.5,-43.38,12,11,0,0,579.7020761335959,604.9850684458484,AMZN_4-5
31.5,26.47,7,7,0,0,409.7097494766319,604.9850684458484,AMZN_9-5
31.5,-20.45,9,8,0,0,275.2010420518186,604.9850684458484,AMZN_8-10
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_10-0
31.5,-18.85,5,5,0,0,350.8695914540527,604.9850684458484,AMZN_7-15
31.5,-12.38,2,2,0,0,267.00863173170234,604.9850684458484,AMZN_10-25
31.5,-18.11,5,5,0,0,320.4878986427153,604.9850684458484,AMZN_11-20
31.5,-6.34,2,2,0,0,161.6593814552989,604.9850684458484,AMZN_5-26
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-1
31.5,-18.27,3,3,0,0,344.51464627415504,604.9850684458484,AMZN_6-21
31.5,-29.63,9,9,0,0,499.0792845920017,604.9850684458484,AMZN_1-21
31.5,24.67,11,10,0,0,525.0486381360292,604.9850684458484,AMZN_5-1
31.5,-27.19,6,5,0,0,386.9082337393752,604.9850684458484,AMZN_3-11
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-26
31.5,12.89,7,7,0,0,356.73687472917885,604.9850684458484,AMZN_9-6
31.5,-36.92,9,9,0,0,629.0725774856983,604.9850684458484,AMZN_2-16
31.5,-10.28,7,6,0,0,289.0196109047552,604.9850684458484,AMZN_8-11
31.5,-16.99,4,4,0,0,294.0333483712412,604.9850684458484,AMZN_7-16
31.5,41.61,12,12,0,0,767.0069841810279,604.9850684458484,AMZN_10-1
31.5,-35.91,10,9,0,0,592.5630567008636,604.9850684458484,AMZN_4-6
31.5,-18.68,3,3,0,0,337.2076068641992,604.9850684458484,AMZN_10-26
31.5,-8.82,4,4,0,0,216.80194769397667,604.9850684458484,AMZN_11-21
31.5,-5.51,2,2,0,0,154.92924573085853,604.9850684458484,AMZN_5-27
31.5,-26.75,8,8,0,0,420.9506078375551,604.9850684458484,AMZN_1-22
31.5,-30.4,6,5,0,0,442.05379794894804,604.9850684458484,AMZN_3-12
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-2
31.5,20.12,10,9,0,0,455.7912168006808,604.9850684458484,AMZN_9-7
31.5,-23.04,3,3,0,0,420.0213708383147,604.9850684458484,AMZN_6-22
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-27
31.5,-23.61,6,5,0,0,371.78115355173077,604.9850684458484,AMZN_8-12
31.5,-27.03,3,3,0,0,441.1464824238015,604.9850684458484,AMZN_7-17
31.5,-31.52,9,9,0,0,518.297206079716,604.9850684458484,AMZN_2-17
31.5,64.84,9,9,0,0,1258.9330074702887,604.9850684458484,AMZN_10-2
31.5,-16.56,1,1,0,0,309.54552164054104,604.9850684458484,AMZN_10-27
31.5,-25.07,9,8,0,0,428.3203896498314,604.9850684458484,AMZN_4-7
31.5,55.87,10,9,0,0,852.8716172335637,604.9850684458484,AMZN_5-2
31.5,-10.72,3,3,0,0,218.701112095429,604.9850684458484,AMZN_11-22
31.5,-3.56,2,2,0,0,137.01374078683983,604.9850684458484,AMZN_5-28
31.5,-30.11,7,6,0,0,414.71788915226693,604.9850684458484,AMZN_3-13
31.5,-28.61,8,8,0,0,460.56013319454433,604.9850684458484,AMZN_1-23
31.5,20.4,10,10,0,0,270.97864028009315,604.9850684458484,AMZN_9-8
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-3
31.5,-22.48,4,4,0,0,383.82442746275194,604.9850684458484,AMZN_8-13
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-28
31.5,-30.72,9,9,0,0,519.643200790445,604.9850684458484,AMZN_2-18
31.5,-18.5,5,5,0,0,359.19610772659144,604.9850684458484,AMZN_6-23
31.5,-27.16,3,3,0,0,448.0160706306062,604.9850684458484,AMZN_7-18
31.5,38.23,6,6,0,0,748.0593497855256,604.9850684458484,AMZN_10-3
31.5,-2.39,1,1,0,0,130.20086019241458,604.9850684458484,AMZN_5-29
31.5,-31.4,7,6,0,0,450.42335674947145,604.9850684458484,AMZN_4-8
31.5,-16.18,1,1,0,0,299.38549603104053,604.9850684458484,AMZN_10-28
31.5,47.1,11,11,0,0,656.6370310235358,604.9850684458484,AMZN_5-3
31.5,-7.17,3,3,0,0,181.73670970736333,604.9850684458484,AMZN_11-23
31.5,-32.34,7,6,0,0,494.6881419217917,604.9850684458484,AMZN_3-14
31.5,-28.42,8,8,0,0,442.18432073417847,604.9850684458484,AMZN_1-24
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_9-9
31.5,-34.39,8,8,0,0,547.1857658017371,604.9850684458484,AMZN_2-19
31.5,-26.17,4,4,0,0,427.4706519248272,604.9850684458484,AMZN_8-14
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-4
31.5,-16.56,2,2,0,0,312.34323349497026,604.9850684458484,AMZN_6-24
31.5,-24.25,3,3,0,0,401.4413867968911,604.9850684458484,AMZN_7-19
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_6-0
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-29
31.5,31.53,6,6,0,0,616.9093133182455,604.9850684458484,AMZN_10-4
31.5,-32.18,7,6,0,0,473.76117672305116,604.9850684458484,AMZN_4-9
31.5,56.81,12,12,0,0,831.3363003610078,604.9850684458484,AMZN_5-4
31.5,-28.46,7,7,0,0,438.3011222740777,604.9850684458484,AMZN_1-25
31.5,-15.99,1,1,0,0,303.645927365198,604.9850684458484,AMZN_10-29
31.5,-31.03,6,5,0,0,517.529439457018,604.9850684458484,AMZN_3-15
31.5,-22.97,11,10,0,0,352.58284479806053,604.9850684458484,AMZN_9-10
31.5,-5.56,3,3,0,0,172.5844551651405,604.9850684458484,AMZN_11-24
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-5
31.5,-23.32,4,4,0,0,394.5121618006493,604.9850684458484,AMZN_8-15
31.5,-16.92,2,2,0,0,315.33503846321685,604.9850684458484,AMZN_6-25
31.5,-34.47,8,8,0,0,568.3958715222607,604.9850684458484,AMZN_2-20
31.5,42.46,14,13,0,0,901.0705739620932,604.9850684458484,AMZN_6-1
31.5,-28.37,3,3,0,0,464.5541315113219,604.9850684458484,AMZN_7-20
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_1-0
31.5,-31.4,6,5,0,0,468.290801894526,604.9850684458484,AMZN_4-10
31.5,28.35,6,6,0,0,473.9320484526128,604.9850684458484,AMZN_10-5
31.5,-26.45,7,7,0,0,410.00205755625666,604.9850684458484,AMZN_1-26
31.5,-29.72,6,5,0,0,530.5935326951117,604.9850684458484,AMZN_3-16
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_11-0
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_5-5
31.5,-18.07,9,8,0,0,297.93823971038023,604.9850684458484,AMZN_9-11
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-6
31.5,-33.23,6,6,0,0,552.37025687075,604.9850684458484,AMZN_2-21
31.5,-17.58,2,2,0,0,328.44769060864763,604.9850684458484,AMZN_6-26
31.5,-4.76,3,3,0,0,197.85424502504844,604.9850684458484,AMZN_11-25
31.5,52.8,9,9,0,0,987.3765982654317,604.9850684458484,AMZN_6-2
31.5,-22.32,4,4,0,0,393.17196566772947,604.9850684458484,AMZN_8-16
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_1-1
31.5,-25.6,3,3,0,0,444.2810816417089,604.9850684458484,AMZN_7-21
31.5,-28.02,7,6,0,0,402.90880834470994,604.9850684458484,AMZN_4-11
31.5,-18.18,5,5,0,0,268.6819351687843,604.9850684458484,AMZN_1-27
31.5,-25.38,6,6,0,0,509.5266122334017,604.9850684458484,AMZN_3-17
31.5,11.21,7,7,0,0,283.70485948719164,604.9850684458484,AMZN_10-6
31.5,-19.8,12,11,0,0,527.4677188971376,604.9850684458484,AMZN_5-6
31.5,-23.6,7,6,0,0,363.30746569535177,604.9850684458484,AMZN_9-12
31.5,43.08,14,14,0,0,759.8070676961421,604.9850684458484,AMZN_11-1
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-7
31.5,-27.83,5,5,0,0,439.8818604958611,604.9850684458484,AMZN_2-22
31.5,-7.24,1,1,0,0,168.39663687599318,604.9850684458484,AMZN_6-27
31.5,39.26,8,8,0,0,620.4965098667769,604.9850684458484,AMZN_6-3
31.5,-13.64,3,3,0,0,257.05032682726875,604.9850684458484,AMZN_11-26
31.5,8.58,22,22,0,0,430.8274325284399,604.9850684458484,AMZN_1-2
31.5,-29.3,6,6,0,0,590.8738289405036,604.9850684458484,AMZN_3-18
31.5,-27.67,4,4,0,0,512.4856926525673,604.9850684458484,AMZN_7-22
31.5,-25.59,6,5,0,0,401.05696186336866,604.9850684458484,AMZN_4-12
31.5,8.42,8,8,0,0,234.03057645629664,604.9850684458484,AMZN_10-7
31.5,-21.62,4,4,0,0,385.61267344464056,604.9850684458484,AMZN_8-17
31.5,-20.06,6,6,0,0,311.3112376931083,604.9850684458484,AMZN_1-28
31.5,-20.87,4,4,0,0,366.62386611793806,604.9850684458484,AMZN_9-13
31.5,-14.87,9,8,0,0,461.85422569307406,604.9850684458484,AMZN_5-7
31.5,49.17,8,8,0,0,945.3390431017295,604.9850684458484,AMZN_11-2
31.5,-9.19,1,1,0,0,189.32604672677328,604.9850684458484,AMZN_6-28
31.5,46.64,10,10,0,0,954.156219909316,604.9850684458484,AMZN_6-4
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-8
31.5,-30.41,5,5,0,0,470.27377466730724,604.9850684458484,AMZN_2-23
31.5,-30.15,7,7,0,0,598.0646908584772,604.9850684458484,AMZN_3-19
31.5,-12.05,16,16,0,0,233.1719507661331,604.9850684458484,AMZN_1-3
31.5,-14.17,1,1,0,0,270.86418222544205,604.9850684458484,AMZN_11-27
31.5,-25.78,3,3,0,0,471.4958784110578,604.9850684458484,AMZN_7-23
31.5,13.88,9,9,0,0,242.98190177216463,604.9850684458484,AMZN_10-8
31.5,-20.01,6,5,0,0,312.8096069050893,604.9850684458484,AMZN_4-13
31.5,-18.41,6,6,0,0,316.2144458481145,604.9850684458484,AMZN_1-29
31.5,-19.52,3,3,0,0,347.6449105873284,604.9850684458484,AMZN_8-18
31.5,-24.6,7,6,0,0,384.1726192138568,604.9850684458484,AMZN_5-8
31.5,29.34,6,6,0,0,589.1998294336983,604.9850684458484,AMZN_11-3
31.5,-9.08,1,1,0,0,187.88901662434722,604.9850684458484,AMZN_6-29
31.5,7.78,12,12,0,0,716.7830844420822,604.9850684458484,AMZN_6-5
31.5,-29.62,7,7,0,0,599.5549738799423,604.9850684458484,AMZN_3-20
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-9
31.5,-26.13,5,5,0,0,440.9246029865893,604.9850684458484,AMZN_9-14
31.5,-27.11,6,6,0,0,416.81066198422485,604.9850684458484,AMZN_2-24
31.5,-16.61,1,1,0,0,301.9873434702926,604.9850684458484,AMZN_11-28
31.5,-8.85,10,10,0,0,205.21170017378205,604.9850684458484,AMZN_1-4
31.5,-21.18,3,3,0,0,390.71721302148126,604.9850684458484,AMZN_7-24
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_2-0
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_7-0
31.5,-19.41,4,4,0,0,326.67526886267314,604.9850684458484,AMZN_8-19
31.5,-17.7,4,3,0,0,283.7305955851815,604.9850684458484,AMZN_4-14
31.5,23.38,11,11,0,0,435.05787893908223,604.9850684458484,AMZN_10-9
31.5,-27.41,7,6,0,0,334.56241537558094,604.9850684458484,AMZN_5-9
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_6-6
31.5,26.08,7,7,0,0,516.1932691392448,604.9850684458484,AMZN_11-4
31.5,-22.49,5,5,0,0,467.4580876621774,604.9850684458484,AMZN_3-21
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-10
31.5,-21.07,5,5,0,0,398.46855351743244,604.9850684458484,AMZN_9-15
31.5,-21.66,4,4,0,0,360.8703937202153,604.9850684458484,AMZN_2-25
31.5,-16.95,1,1,0,0,307.43692910290457,604.9850684458484,AMZN_11-29
31.5,-27.95,10,10,0,0,407.7087245519396,604.9850684458484,AMZN_1-5
31.5,-13.17,2,2,0,0,245.37026556486813,604.9850684458484,AMZN_7-25
31.5,62.09,12,11,0,0,1238.0665062461674,604.9850684458484,AMZN_7-1
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_10-10
31.5,-28.3,3,3,0,0,469.3779451567842,604.9850684458484,AMZN_8-20
31.5,-22.14,5,4,0,0,382.9299165094254,604.9850684458484,AMZN_4-15
31.5,1.42,23,22,0,0,551.3525642891028,604.9850684458484,AMZN_2-1
31.5,-29.32,6,5,0,0,378.0355493558478,604.9850684458484,AMZN_5-10
31.5,-14.55,10,9,0,0,338.29876943192346,604.9850684458484,AMZN_6-7
31.5,11.66,5,5,0,0,329.0739132807505,604.9850684458484,AMZN_11-5
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-11
31.5,-11.06,3,3,0,0,250.50429767089364,604.9850684458484,AMZN_3-22
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_12-0
31.5,-17.28,3,3,0,0,364.2044315195208,604.9850684458484,AMZN_9-16
31.5,66.7,9,9,0,0,1249.6211038703952,604.9850684458484,AMZN_7-2
31.5,-37.57,13,13,0,0,614.1285251266629,604.9850684458484,AMZN_1-6
31.5,-18.46,2,2,0,0,323.1943345961383,604.9850684458484,AMZN_7-26
31.5,-12.17,9,9,0,0,333.9686939761502,604.9850684458484,AMZN_10-11
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_2-2
31.5,-19.61,4,4,0,0,312.7134711570943,604.9850684458484,AMZN_2-26
31.5,-27.76,4,4,0,0,475.75074879479723,604.9850684458484,AMZN_8-21
31.5,-20.47,5,4,0,0,299.06923193143257,604.9850684458484,AMZN_5-11
31.5,-29.58,9,8,0,0,431.248874060223,604.9850684458484,AMZN_6-8
31.5,12.24,6,6,0,0,425.7481757332096,604.9850684458484,AMZN_11-6
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-12
31.5,-18.16,4,4,0,0,341.44922546625554,604.9850684458484,AMZN_9-17
31.5,-8.09,3,3,0,0,200.30889922916188,604.9850684458484,AMZN_3-23
31.5,32.39,13,12,0,0,695.1943792269038,604.9850684458484,AMZN_12-1
31.5,-21.07,6,5,0,0,346.4917264850445,604.9850684458484,AMZN_4-16
31.5,-21.9,6,6,0,0,381.84235000194445,604.9850684458484,AMZN_10-12
31.5,48.79,8,8,0,0,762.7778877670993,604.9850684458484,AMZN_7-3
31.5,-15.67,1,1,0,0,277.3432743394387,604.9850684458484,AMZN_7-27
31.5,-11.76,13,13,0,0,212.72091018738425,604.9850684458484,AMZN_2-3
31.5,-25.75,7,6,0,0,359.6386273174461,604.9850684458484,AMZN_6-9
31.5,-43.62,11,11,0,0,733.4818122759912,604.9850684458484,AMZN_1-7
31.5,-18.27,4,4,0,0,305.1695238553012,604.9850684458484,AMZN_2-27
31.5,-19.61,7,6,0,0,321.66815143405756,604.9850684458484,AMZN_5-12
31.5,-29.85,3,3,0,0,508.2269745407775,604.9850684458484,AMZN_8-22
31.5,20.64,6,6,0,0,349.19889027611197,604.9850684458484,AMZN_11-7
31.5,-18.36,4,4,0,0,338.50666929369424,604.9850684458484,AMZN_9-18
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-13
31.5,52.62,8,8,0,0,892.6543753059154,604.9850684458484,AMZN_12-2
31.5,-19.18,6,6,0,0,365.047589184332,604.9850684458484,AMZN_10-13
31.5,-9.12,3,3,0,0,218.57829728974383,604.9850684458484,AMZN_3-24
31.5,-16.71,4,4,0,0,322.4384407864551,604.9850684458484,AMZN_4-17
31.5,22.02,9,9,0,0,592.6261920742905,604.9850684458484,AMZN_7-4
31.5,-20.52,1,1,0,0,348.3932736714018,604.9850684458484,AMZN_7-28
31.5,-22.81,7,6,0,0,289.7278684295625,604.9850684458484,AMZN_6-10
31.5,-33.54,10,10,0,0,560.6366743953606,604.9850684458484,AMZN_1-8
31.5,-20.5,6,5,0,0,330.1399102526583,604.9850684458484,AMZN_5-13
31.5,-16.65,4,4,0,0,291.1329539439468,604.9850684458484,AMZN_2-28
31.5,-1.36,11,11,0,0,167.43091356477817,604.9850684458484,AMZN_2-4
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-14
31.5,1.7,7,7,0,0,221.89870356463732,604.9850684458484,AMZN_11-8
31.5,-25.83,5,5,0,0,438.0015443582863,604.9850684458484,AMZN_8-23
31.5,-20.17,4,4,0,0,348.7443373068984,604.9850684458484,AMZN_9-19
31.5,31.15,6,6,0,0,611.9139266629412,604.9850684458484,AMZN_12-3
31.5,-12.15,3,3,0,0,271.04420869464974,604.9850684458484,AMZN_3-25
31.5,-30.21,5,5,0,0,493.3011581362077,604.9850684458484,AMZN_10-14
31.5,-20.68,4,4,0,0,386.38656146733643,604.9850684458484,AMZN_4-18
31.5,6.77,9,9,0,0,658.238141566245,604.9850684458484,AMZN_7-5
31.5,-20.51,1,1,0,0,346.44206180221204,604.9850684458484,AMZN_7-29
31.5,-19.97,6,5,0,0,369.826475997876,604.9850684458484,AMZN_6-11
31.5,-36.89,12,12,0,0,567.8347865704775,604.9850684458484,AMZN_1-9
31.5,-19.18,5,5,0,0,332.8208714075937,604.9850684458484,AMZN_5-14
31.5,10.08,9,9,0,0,220.58944494103582,604.9850684458484,AMZN_11-9
31.5,-14.38,3,3,0,0,326.0893779678684,604.9850684458484,AMZN_2-29
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-15
31.5,22.92,6,6,0,0,532.5294328494039,604.9850684458484,AMZN_12-4
31.5,-24.32,4,4,0,0,411.9692610304398,604.9850684458484,AMZN_8-24
31.5,-39.46,9,9,0,0,530.427007984388,604.9850684458484,AMZN_2-5
31.5,-13.52,3,3,0,0,285.12663890488164,604.9850684458484,AMZN_3-26
31.5,-26.91,5,5,0,0,446.8080589391961,604.9850684458484,AMZN_9-20
31.5,-25.53,6,6,0,0,426.3232933094125,604.9850684458484,AMZN_10-15
31.5,-18.08,5,5,0,0,346.34871809558877,604.9850684458484,AMZN_4-19
31.5,3.73,10,10,0,0,366.00836315193936,604.9850684458484,AMZN_7-6
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_8-0
31.5,-18.34,4,3,0,0,258.023541792606,604.9850684458484,AMZN_6-12
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_0-16
31.5,0.0,0,0,0,0,0.0,604.9850684458484,AMZN_3-0
31.5,7.39,7,7,0,0,335.10614376220605,604.9850684458484,AMZN_12-5
31.5,-37.23,9,8,0,0,569.0894670321296,604.9850684458484,AMZN_2-6
31.5,-33.08,12,11,0,0,489.66252186885333,604.9850684458484,AMZN_1-10
31.5,-11.76,3,3,0,0,239.76289284374838,604.9850684458484,AMZN_5-15
31.5,-10.67,3,3,0,0,241.96833175717984,604.9850684458484,AMZN_3-27
31.5,-16.3,2,2,0,0,301.0144717112759,604.9850684458484,AMZN_8-25
31.5,0.81,10,9,0,0,208.842413124097,604.9850684458484,AMZN_11-10
31.5,-13.21,4,4,0,0,339.38471206638957,604.9850684458484,AMZN_10-16
