Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
-8.4,0.0,0,0,0,0,0.0,1220.7358783941568,FB_1-1
-8.4,-15.69,2,1,0,0,123.22046639400264,1220.7358783941568,FB_16-171
-8.4,-4.25,2,1,0,0,150.10302440671398,1220.7358783941568,FB_31-341
-8.4,-7.66,2,1,0,0,22.160080488232236,1220.7358783941568,FB_56-346
-8.4,21.99,4,4,0,0,799.082447021928,1220.7358783941568,FB_51-11
-8.4,-9.57,2,1,0,0,101.64918542563461,1220.7358783941568,FB_41-176
-8.4,-14.49,2,1,0,0,113.5027366953523,1220.7358783941568,FB_6-336
-8.4,-12.54,2,1,0,0,40.3924044291773,1220.7358783941568,FB_91-186
-8.4,45.08,5,5,0,0,707.0633708944092,1220.7358783941568,FB_26-6
-8.4,47.39,1,1,0,0,988.0529417282545,1220.7358783941568,FB_76-16
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-351
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-356
-8.4,-7.29,2,1,0,0,113.57083581097555,1220.7358783941568,FB_66-181
-8.4,17.12,1,1,0,0,1087.1342583158034,1220.7358783941568,FB_101-21
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-191
-8.4,5.61,31,30,0,0,832.5721366582293,1220.7358783941568,FB_1-6
-8.4,-2.62,2,1,0,0,170.0304566423773,1220.7358783941568,FB_31-346
-8.4,-15.79,2,1,0,0,124.18717058096088,1220.7358783941568,FB_16-176
-8.4,42.48,2,2,0,0,958.1075387719783,1220.7358783941568,FB_51-16
-8.4,46.71,2,2,0,0,711.5449463896704,1220.7358783941568,FB_26-11
-8.4,-11.03,2,1,0,0,95.94892063635322,1220.7358783941568,FB_41-181
-8.4,44.58,1,1,0,0,986.6817353606701,1220.7358783941568,FB_76-21
-8.4,-15.69,2,1,0,0,123.22046639400264,1220.7358783941568,FB_6-341
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-361
-8.4,-7.95,2,1,0,0,23.082604937660975,1220.7358783941568,FB_56-351
-8.4,-9.2,2,1,0,0,93.09927337892643,1220.7358783941568,FB_66-186
-8.4,16.26,1,1,0,0,1093.110441036965,1220.7358783941568,FB_101-26
-8.4,-13.97,2,1,0,0,45.84975768733214,1220.7358783941568,FB_91-191
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-196
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-356
-8.4,-5.39,2,1,0,0,136.85180343295133,1220.7358783941568,FB_31-351
-8.4,57.27,1,1,0,0,1012.7038205403161,1220.7358783941568,FB_51-21
-8.4,-10.83,2,1,0,0,96.39918431395724,1220.7358783941568,FB_41-186
-8.4,-15.72,2,1,0,0,123.45582584794715,1220.7358783941568,FB_6-346
-8.4,-17.18,2,1,0,0,139.29173066394515,1220.7358783941568,FB_16-181
-8.4,27.65,1,1,0,0,1026.9319693158889,1220.7358783941568,FB_76-26
-8.4,7.93,22,21,0,0,750.909673419136,1220.7358783941568,FB_1-11
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-366
-8.4,-2.39,2,1,0,0,6.815936014686978,1220.7358783941568,FB_56-356
-8.4,38.03,3,3,0,0,582.9614100927557,1220.7358783941568,FB_26-16
-8.4,7.82,1,1,0,0,1156.188944275702,1220.7358783941568,FB_101-31
-8.4,-12.54,2,1,0,0,66.09912468141654,1220.7358783941568,FB_66-191
-8.4,-8.24,2,1,0,0,24.019319335510097,1220.7358783941568,FB_91-196
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-201
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-361
-8.4,49.78,1,1,0,0,991.2022071828067,1220.7358783941568,FB_51-26
-8.4,-10.85,2,1,0,0,96.34592799654094,1220.7358783941568,FB_41-191
-8.4,-17.7,2,1,0,0,145.6653525191435,1220.7358783941568,FB_16-186
-8.4,-15.6,2,1,0,0,122.37976874581055,1220.7358783941568,FB_6-351
-8.4,-5.65,2,1,0,0,133.97878679449872,1220.7358783941568,FB_31-356
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-371
-8.4,10.35,1,1,0,0,1136.61464791388,1220.7358783941568,FB_101-36
-8.4,-12.73,2,1,0,0,65.02797289658567,1220.7358783941568,FB_66-196
-8.4,25.75,4,4,0,0,466.2577372975669,1220.7358783941568,FB_26-21
-8.4,17.77,1,1,0,0,1082.8664239922903,1220.7358783941568,FB_76-31
-8.4,-2.39,2,1,0,0,6.6321942236594555,1220.7358783941568,FB_56-361
-8.4,-1.4,2,1,0,0,5.209772700829781,1220.7358783941568,FB_91-201
-8.4,-2.58,23,22,0,0,1004.1696195139152,1220.7358783941568,FB_1-16
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-206
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-366
-8.4,-11.23,2,1,0,0,95.56812759034263,1220.7358783941568,FB_41-196
-8.4,-15.79,2,1,0,0,124.18717058096088,1220.7358783941568,FB_6-356
-8.4,11.77,1,1,0,0,1125.9342755080943,1220.7358783941568,FB_101-41
-8.4,-6.39,2,1,0,0,125.91383158111495,1220.7358783941568,FB_31-361
-8.4,47.39,1,1,0,0,988.0310808617069,1220.7358783941568,FB_51-31
-8.4,-20.15,2,1,0,0,179.50365028975128,1220.7358783941568,FB_16-191
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-376
-8.4,0.0,0,0,0,0,0.0,1220.7358783941568,FB_26-26
-8.4,16.63,1,1,0,0,1090.6127372826488,1220.7358783941568,FB_76-36
-8.4,-0.14,2,1,0,0,2.7239725181834045,1220.7358783941568,FB_56-366
-8.4,0.74,2,1,0,0,2.107150050115526,1220.7358783941568,FB_91-206
-8.4,-14.24,2,1,0,0,60.098042091924604,1220.7358783941568,FB_66-201
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-211
-8.4,-10.09,17,16,0,0,912.2759953926245,1220.7358783941568,FB_1-21
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-371
-8.4,-9.64,2,1,0,0,101.05311028863511,1220.7358783941568,FB_41-201
-8.4,47.44,1,1,0,0,988.095974821067,1220.7358783941568,FB_51-36
-8.4,6.93,1,1,0,0,1160.9561330505946,1220.7358783941568,FB_101-46
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-381
-8.4,-16.72,2,1,0,0,133.89106378105313,1220.7358783941568,FB_6-361
-8.4,-20.05,2,1,0,0,178.03179098945535,1220.7358783941568,FB_16-196
-8.4,11.0,1,1,0,0,1131.183241686601,1220.7358783941568,FB_76-41
-8.4,-5.02,2,1,0,0,141.12717702685208,1220.7358783941568,FB_31-366
-8.4,-35.07,4,3,0,0,573.1515226139592,1220.7358783941568,FB_26-31
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_91-211
-8.4,-13.22,2,1,0,0,62.760653277969304,1220.7358783941568,FB_66-206
-8.4,-19.74,12,11,0,0,698.7557743513628,1220.7358783941568,FB_1-26
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_116-216
-8.4,-10.62,2,1,0,0,96.89453851199156,1220.7358783941568,FB_41-206
-8.4,52.94,1,1,0,0,997.3784493487567,1220.7358783941568,FB_51-41
-8.4,-16.66,2,1,0,0,133.26149415643536,1220.7358783941568,FB_6-366
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-386
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-376
-8.4,1.07,2,1,0,0,1.916107368755755,1220.7358783941568,FB_56-371
-8.4,7.69,1,1,0,0,1155.3907637710445,1220.7358783941568,FB_101-51
-8.4,7.43,1,1,0,0,1159.2458322857788,1220.7358783941568,FB_76-46
-8.4,-18.95,2,1,0,0,162.25746790171155,1220.7358783941568,FB_16-201
-8.4,-40.27,2,1,0,0,553.3391422589214,1220.7358783941568,FB_26-36
-8.4,-3.44,2,1,0,0,159.81381641293873,1220.7358783941568,FB_31-371
-8.4,-15.43,2,1,0,0,60.028330311422565,1220.7358783941568,FB_66-211
-8.4,-26.57,12,11,0,0,652.6013087290238,1220.7358783941568,FB_1-31
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_91-216
-8.4,-9.57,2,1,0,0,101.40509339503828,1220.7358783941568,FB_41-211
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_81-381
-8.4,1.34,1,1,0,0,1.9039895930771098,1220.7358783941568,FB_106-391
-8.4,-16.9,2,1,0,0,135.9342838976575,1220.7358783941568,FB_6-371
-8.4,13.86,1,1,0,0,1111.6766750752263,1220.7358783941568,FB_76-51
-8.4,22.2,1,1,0,0,1055.0801417234493,1220.7358783941568,FB_51-46
