Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_6-336
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_31-341
82.41,87.0,2,2,0,0,2057.741282045979,2104.7671197701943,GOOG_26-6
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_41-176
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_1-1
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_16-171
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_56-346
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_66-181
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_91-186
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_76-16
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_81-351
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_51-11
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_106-356
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_116-191
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_101-21
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_6-341
82.41,85.66,2,2,0,0,2008.9111049830126,2104.7671197701943,GOOG_26-11
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_41-181
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_56-351
82.41,25.63,17,16,0,0,628.4060910945045,2104.7671197701943,GOOG_1-6
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_66-186
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_76-21
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_51-16
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_16-176
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_106-361
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_81-356
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_116-196
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_31-346
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_6-346
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_91-191
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_101-26
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_41-186
82.41,96.15,1,1,0,0,2065.016104417869,2104.7671197701943,GOOG_26-16
82.41,12.5,11,10,0,0,339.86406281388383,2104.7671197701943,GOOG_1-11
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_106-366
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_16-181
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_56-356
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_81-361
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_66-191
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_51-21
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_116-201
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_91-196
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_76-26
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_6-351
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_31-351
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_101-31
82.41,84.77,2,2,0,0,2058.7036940366133,2104.7671197701943,GOOG_26-21
82.41,8.75,6,5,0,0,269.48444918142076,2104.7671197701943,GOOG_1-16
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_106-371
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_66-196
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_41-191
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_56-361
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_116-206
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_51-26
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_91-201
82.41,0.0,0,0,0,0,0.0,2104.7671197701943,GOOG_16-186
82.41,81.31,1,0,0,0,2092.1137601626974,2104.7671197701943,GOOG_76-31
