Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
29.23,0.0,0,0,0,0,0.0,441.23951090097967,JNJ_51-51
29.23,-16.48,15,14,0,0,254.96087216805805,441.23951090097967,JNJ_50-1
29.23,-1.51,7,6,0,0,202.0284888018149,441.23951090097967,JNJ_54-15
29.23,0.75,6,5,0,0,224.01351318006098,441.23951090097967,JNJ_53-27
29.23,4.53,6,5,0,0,257.6540778851224,441.23951090097967,JNJ_52-39
29.23,21.17,7,7,0,0,268.1621038469909,441.23951090097967,JNJ_50-63
29.23,4.78,6,5,0,0,257.19296220635846,441.23951090097967,JNJ_56-53
29.23,1.21,6,5,0,0,226.67656106243098,441.23951090097967,JNJ_58-29
29.23,18.48,4,4,0,0,275.2299024776087,441.23951090097967,JNJ_55-65
29.23,2.47,7,6,0,0,192.9438124523846,441.23951090097967,JNJ_60-5
29.23,3.7,5,4,0,0,236.68693974104326,441.23951090097967,JNJ_59-17
29.23,2.91,7,6,0,0,247.6730787866963,441.23951090097967,JNJ_57-41
29.23,15.94,4,4,0,0,233.16682091314567,441.23951090097967,JNJ_60-67
29.23,3.64,6,5,0,0,250.10851226533202,441.23951090097967,JNJ_61-55
29.23,-16.19,14,13,0,0,233.7121509538463,441.23951090097967,JNJ_55-3
29.23,-7.73,11,10,0,0,183.81564156852968,441.23951090097967,JNJ_50-2
29.23,5.08,5,4,0,0,236.20566328572983,441.23951090097967,JNJ_54-16
29.23,1.61,6,5,0,0,227.70332415960814,441.23951090097967,JNJ_53-28
29.23,21.12,7,7,0,0,271.7699112915351,441.23951090097967,JNJ_50-64
29.23,5.5,6,5,0,0,264.1988627651555,441.23951090097967,JNJ_52-40
29.23,4.26,7,6,0,0,257.76162721853694,441.23951090097967,JNJ_56-54
29.23,-0.38,6,5,0,0,222.72428697445432,441.23951090097967,JNJ_58-30
29.23,1.06,7,6,0,0,246.6195911061019,441.23951090097967,JNJ_57-42
29.23,23.8,7,7,0,0,312.3060132296201,441.23951090097967,JNJ_51-52
29.23,3.06,7,6,0,0,212.9907027257367,441.23951090097967,JNJ_60-6
29.23,17.2,4,4,0,0,249.4831029148271,441.23951090097967,JNJ_55-66
29.23,15.94,4,4,0,0,233.16682091314567,441.23951090097967,JNJ_60-68
29.23,4.07,5,4,0,0,235.03050092166677,441.23951090097967,JNJ_59-18
29.23,5.43,5,4,0,0,239.02887640021058,441.23951090097967,JNJ_54-17
29.23,1.02,6,5,0,0,226.95973017817246,441.23951090097967,JNJ_53-29
29.23,4.05,6,5,0,0,250.17908537765763,441.23951090097967,JNJ_61-56
29.23,-4.16,9,8,0,0,204.51000533247006,441.23951090097967,JNJ_55-4
29.23,5.15,7,6,0,0,256.68020643305147,441.23951090097967,JNJ_52-41
29.23,4.17,7,6,0,0,257.4883970453559,441.23951090097967,JNJ_56-55
29.23,21.59,7,7,0,0,278.8413381864852,441.23951090097967,JNJ_50-65
29.23,23.96,8,8,0,0,313.591292404295,441.23951090097967,JNJ_51-53
29.23,4.17,6,5,0,0,217.12116373021865,441.23951090097967,JNJ_60-7
29.23,0.94,7,6,0,0,245.26871611809193,441.23951090097967,JNJ_57-43
29.23,-9.96,12,11,0,0,186.88925286491244,441.23951090097967,JNJ_50-3
29.23,17.51,4,4,0,0,255.66371891100175,441.23951090097967,JNJ_55-67
29.23,3.7,5,4,0,0,240.37980858175436,441.23951090097967,JNJ_58-31
29.23,5.93,4,3,0,0,239.6357221958951,441.23951090097967,JNJ_59-19
29.23,16.09,4,4,0,0,235.69880306978195,441.23951090097967,JNJ_60-69
29.23,3.45,5,4,0,0,235.67253268308787,441.23951090097967,JNJ_54-18
29.23,6.09,5,4,0,0,250.98217817614395,441.23951090097967,JNJ_61-57
29.23,-1.1,7,6,0,0,193.06358664012475,441.23951090097967,JNJ_55-5
29.23,3.88,7,6,0,0,251.88782351827194,441.23951090097967,JNJ_52-42
29.23,0.17,6,5,0,0,227.5217823912878,441.23951090097967,JNJ_53-30
29.23,21.41,7,7,0,0,277.5351577940042,441.23951090097967,JNJ_50-66
29.23,0.71,7,6,0,0,242.9035538722762,441.23951090097967,JNJ_57-44
29.23,0.0,0,0,0,0,0.0,441.23951090097967,JNJ_56-56
29.23,22.14,6,6,0,0,294.6205671987399,441.23951090097967,JNJ_51-54
29.23,0.88,8,7,0,0,197.0320181904917,441.23951090097967,JNJ_50-4
29.23,4.13,5,4,0,0,214.5104606399515,441.23951090097967,JNJ_60-8
29.23,15.68,4,4,0,0,227.56634634039688,441.23951090097967,JNJ_60-70
29.23,3.0,5,4,0,0,237.3533629883951,441.23951090097967,JNJ_58-32
29.23,4.94,5,4,0,0,241.00486091392466,441.23951090097967,JNJ_54-19
29.23,16.8,4,4,0,0,241.3753299774209,441.23951090097967,JNJ_55-68
29.23,-0.06,7,6,0,0,204.47985727928247,441.23951090097967,JNJ_55-6
29.23,7.57,4,3,0,0,248.42039037297835,441.23951090097967,JNJ_59-20
29.23,0.55,6,5,0,0,221.99728813556854,441.23951090097967,JNJ_53-31
29.23,21.41,7,7,0,0,277.5351577940042,441.23951090097967,JNJ_50-67
29.23,5.73,5,4,0,0,250.16390103940097,441.23951090097967,JNJ_61-58
29.23,1.65,7,6,0,0,245.79110215990636,441.23951090097967,JNJ_57-45
29.23,21.19,7,7,0,0,272.3280875311655,441.23951090097967,JNJ_56-57
29.23,3.75,7,6,0,0,248.70599071104118,441.23951090097967,JNJ_52-43
29.23,21.44,6,6,0,0,280.4859557576853,441.23951090097967,JNJ_51-55
29.23,2.07,6,5,0,0,191.4184148385349,441.23951090097967,JNJ_50-5
29.23,3.2,5,4,0,0,211.15130840529906,441.23951090097967,JNJ_60-9
29.23,15.44,4,4,0,0,225.93801983357702,441.23951090097967,JNJ_60-71
29.23,15.61,4,4,0,0,225.74019488075524,441.23951090097967,JNJ_55-69
29.23,3.02,5,4,0,0,237.50452105316393,441.23951090097967,JNJ_58-33
29.23,6.75,4,3,0,0,244.8237113966157,441.23951090097967,JNJ_54-20
29.23,-4.02,7,6,0,0,241.44266705478535,441.23951090097967,JNJ_55-7
29.23,1.57,7,6,0,0,244.93904774713536,441.23951090097967,JNJ_57-46
29.23,-0.21,6,5,0,0,222.84021935962187,441.23951090097967,JNJ_53-32
29.23,20.65,6,6,0,0,264.2974111480167,441.23951090097967,JNJ_50-68
29.23,21.41,7,7,0,0,277.5351577940042,441.23951090097967,JNJ_56-58
29.23,5.85,5,4,0,0,232.12150907469575,441.23951090097967,JNJ_59-21
29.23,2.91,7,6,0,0,247.6730787866963,441.23951090097967,JNJ_52-44
29.23,20.66,6,6,0,0,272.717646378777,441.23951090097967,JNJ_51-56
29.23,4.11,6,5,0,0,211.62642348259928,441.23951090097967,JNJ_50-6
29.23,9.0,4,3,0,0,262.7815122774076,441.23951090097967,JNJ_61-59
29.23,1.75,6,5,0,0,241.25670426962682,441.23951090097967,JNJ_58-34
29.23,15.61,4,4,0,0,225.74019488075524,441.23951090097967,JNJ_55-70
29.23,7.57,4,3,0,0,248.42039037297835,441.23951090097967,JNJ_54-21
29.23,4.03,5,4,0,0,242.55980375123536,441.23951090097967,JNJ_53-33
29.23,1.96,7,6,0,0,247.4555300995633,441.23951090097967,JNJ_57-47
29.23,-0.42,7,6,0,0,208.46129736033856,441.23951090097967,JNJ_55-8
29.23,15.61,4,4,0,0,229.21139096737363,441.23951090097967,JNJ_60-72
29.23,3.27,5,4,0,0,214.07471945228795,441.23951090097967,JNJ_60-10
29.23,20.78,7,7,0,0,265.29506516853036,441.23951090097967,JNJ_56-59
29.23,20.47,6,6,0,0,266.05061770366564,441.23951090097967,JNJ_50-69
29.23,1.64,7,6,0,0,247.05849894923344,441.23951090097967,JNJ_52-45
29.23,3.02,5,4,0,0,215.81380149474847,441.23951090097967,JNJ_50-7
29.23,4.14,5,4,0,0,226.32530482282812,441.23951090097967,JNJ_59-22
29.23,20.66,6,6,0,0,272.717646378777,441.23951090097967,JNJ_51-57
29.23,3.27,6,5,0,0,249.09848415051218,441.23951090097967,JNJ_58-35
29.23,3.0,5,4,0,0,237.3533629883951,441.23951090097967,JNJ_53-34
29.23,3.26,5,4,0,0,206.53769869485117,441.23951090097967,JNJ_60-11
29.23,7.62,4,3,0,0,248.03634717898575,441.23951090097967,JNJ_54-22
29.23,1.99,6,5,0,0,206.9027080147838,441.23951090097967,JNJ_55-9
29.23,2.49,7,6,0,0,248.04944242221535,441.23951090097967,JNJ_57-48
29.23,22.28,6,6,0,0,295.5171700511127,441.23951090097967,JNJ_56-60
29.23,9.37,4,3,0,0,265.9635391885131,441.23951090097967,JNJ_61-60
29.23,15.51,4,4,0,0,227.62983543500175,441.23951090097967,JNJ_60-73
29.23,21.8,6,6,0,0,292.2896441356181,441.23951090097967,JNJ_50-70
29.23,16.23,4,4,0,0,237.94845096737504,441.23951090097967,JNJ_55-71
29.23,4.53,6,5,0,0,257.6540778851224,441.23951090097967,JNJ_58-36
29.23,0.64,5,4,0,0,202.76201938344855,441.23951090097967,JNJ_50-8
29.23,1.0,7,6,0,0,245.22658744827118,441.23951090097967,JNJ_52-46
29.23,1.76,5,4,0,0,202.98165670400402,441.23951090097967,JNJ_55-10
29.23,3.02,5,4,0,0,237.50452105316393,441.23951090097967,JNJ_53-35
29.23,21.97,7,7,0,0,285.96479053534006,441.23951090097967,JNJ_51-58
29.23,4.82,5,4,0,0,230.11838743983262,441.23951090097967,JNJ_54-23
29.23,5.14,6,5,0,0,215.63095485569895,441.23951090097967,JNJ_60-12
29.23,21.8,6,6,0,0,292.2896441356181,441.23951090097967,JNJ_56-61
29.23,4.36,6,5,0,0,251.90145922613058,441.23951090097967,JNJ_57-49
29.23,2.71,6,5,0,0,226.35802664136057,441.23951090097967,JNJ_59-23
29.23,15.7,4,4,0,0,231.533894381081,441.23951090097967,JNJ_60-74
29.23,19.81,5,5,0,0,279.98472134404255,441.23951090097967,JNJ_50-71
29.23,16.19,4,4,0,0,237.31433294782366,441.23951090097967,JNJ_55-72
29.23,5.5,6,5,0,0,264.1988627651555,441.23951090097967,JNJ_58-37
29.23,1.96,5,4,0,0,201.04348122069143,441.23951090097967,JNJ_55-11
29.23,0.0,0,0,0,0,0.0,441.23951090097967,JNJ_61-61
29.23,-2.01,6,5,0,0,204.2717251259909,441.23951090097967,JNJ_50-9
29.23,21.07,7,7,0,0,266.49355648733723,441.23951090097967,JNJ_51-59
29.23,2.16,6,5,0,0,241.53869767855673,441.23951090097967,JNJ_53-36
29.23,19.81,5,5,0,0,279.98472134404255,441.23951090097967,JNJ_56-62
29.23,2.56,6,5,0,0,225.42386735990857,441.23951090097967,JNJ_54-24
29.23,5.14,6,5,0,0,253.13603633083972,441.23951090097967,JNJ_57-50
29.23,0.42,7,6,0,0,242.94513237431698,441.23951090097967,JNJ_52-47
29.23,7.66,5,4,0,0,246.47061700399055,441.23951090097967,JNJ_60-13
29.23,19.93,5,5,0,0,280.87957476036183,441.23951090097967,JNJ_50-72
29.23,16.12,4,4,0,0,236.89362785444695,441.23951090097967,JNJ_55-73
29.23,5.15,7,6,0,0,256.68020643305147,441.23951090097967,JNJ_58-38
29.23,0.62,6,5,0,0,225.7028978948249,441.23951090097967,JNJ_59-24
29.23,21.07,7,7,0,0,266.49355648733723,441.23951090097967,JNJ_51-60
29.23,-0.05,5,4,0,0,192.20057945941454,441.23951090097967,JNJ_55-12
29.23,-7.44,12,11,0,0,197.84798915066497,441.23951090097967,JNJ_61-1
29.23,-2.05,7,6,0,0,200.26969979644457,441.23951090097967,JNJ_50-10
29.23,15.61,4,4,0,0,225.74019488075524,441.23951090097967,JNJ_61-62
29.23,19.93,5,5,0,0,280.87957476036183,441.23951090097967,JNJ_56-63
29.23,3.27,6,5,0,0,249.09848415051218,441.23951090097967,JNJ_53-37
29.23,1.6,6,5,0,0,225.36805117249685,441.23951090097967,JNJ_54-25
29.23,5.03,6,5,0,0,252.17414456836872,441.23951090097967,JNJ_57-51
29.23,20.34,5,5,0,0,287.6422047363726,441.23951090097967,JNJ_50-73
29.23,16.12,4,4,0,0,236.89362785444695,441.23951090097967,JNJ_55-74
29.23,4.68,6,5,0,0,237.07797696517574,441.23951090097967,JNJ_60-14
29.23,21.17,7,7,0,0,268.1621038469909,441.23951090097967,JNJ_51-61
29.23,4.21,7,6,0,0,251.88013749162138,441.23951090097967,JNJ_58-39
29.23,1.28,7,6,0,0,246.1551238878296,441.23951090097967,JNJ_52-48
29.23,0.7,5,4,0,0,196.00842327723723,441.23951090097967,JNJ_50-11
29.23,0.37,6,5,0,0,223.3756397977287,441.23951090097967,JNJ_59-25
29.23,-7.9,10,9,0,0,182.4034840540889,441.23951090097967,JNJ_61-2
29.23,3.04,6,5,0,0,206.51009487716436,441.23951090097967,JNJ_55-13
29.23,17.2,4,4,0,0,249.4831029148271,441.23951090097967,JNJ_56-64
29.23,16.23,4,4,0,0,237.94845096737504,441.23951090097967,JNJ_61-63
29.23,4.66,6,5,0,0,257.67845849679776,441.23951090097967,JNJ_53-38
29.23,0.5,6,5,0,0,223.82311519999337,441.23951090097967,JNJ_54-26
29.23,2.91,7,6,0,0,247.6730787866963,441.23951090097967,JNJ_58-40
29.23,3.97,6,5,0,0,250.99482013464979,441.23951090097967,JNJ_57-52
29.23,-0.37,5,4,0,0,190.41968746255068,441.23951090097967,JNJ_50-12
29.23,18.48,4,4,0,0,275.2299024776087,441.23951090097967,JNJ_50-74
29.23,2.48,6,5,0,0,234.7912798798493,441.23951090097967,JNJ_60-15
29.23,-16.48,18,17,0,0,257.80653602719315,441.23951090097967,JNJ_56-1
29.23,1.86,6,5,0,0,228.8042223536875,441.23951090097967,JNJ_59-26
29.23,1.65,7,6,0,0,245.79110215990636,441.23951090097967,JNJ_52-49
29.23,21.19,7,7,0,0,268.5147709455618,441.23951090097967,JNJ_51-62
29.23,-0.54,7,6,0,0,195.779781519988,441.23951090097967,JNJ_55-14
29.23,17.2,4,4,0,0,249.4831029148271,441.23951090097967,JNJ_56-65
29.23,4.85,6,5,0,0,258.7235005523245,441.23951090097967,JNJ_53-39
29.23,1.43,6,5,0,0,228.12268676600684,441.23951090097967,JNJ_54-27
29.23,16.23,4,4,0,0,237.94845096737504,441.23951090097967,JNJ_61-64
29.23,2.71,7,6,0,0,246.49160348416785,441.23951090097967,JNJ_58-41
29.23,-14.66,14,13,0,0,241.3833548180362,441.23951090097967,JNJ_51-1
29.23,-4.59,11,10,0,0,195.0584952451121,441.23951090097967,JNJ_61-3
29.23,0.81,6,5,0,0,190.96973315849246,441.23951090097967,JNJ_50-13
29.23,4.26,7,6,0,0,257.76162721853694,441.23951090097967,JNJ_57-53
29.23,-11.61,12,11,0,0,203.05730422504791,441.23951090097967,JNJ_56-2
29.23,1.57,7,6,0,0,244.93904774713536,441.23951090097967,JNJ_52-50
29.23,5.43,5,4,0,0,239.02887640021058,441.23951090097967,JNJ_60-16
29.23,2.3,6,5,0,0,232.66821672119318,441.23951090097967,JNJ_59-27
29.23,-0.38,7,6,0,0,210.78123987615936,441.23951090097967,JNJ_55-15
