Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
45.79,17.83,8,8,0,0,1181.8723406500658,1570.1792183849477,JPM_1-101
45.79,9.47,9,8,0,0,244.19486897491294,1570.1792183849477,JPM_51-1
45.79,16.52,7,7,0,0,1375.7359557263972,1570.1792183849477,JPM_1-201
45.79,29.36,8,8,0,0,1143.6356340873465,1570.1792183849477,JPM_1-51
45.79,22.78,6,6,0,0,1219.3252732675037,1570.1792183849477,JPM_1-151
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_51-51
45.79,29.56,3,2,0,0,1373.208158603719,1570.1792183849477,JPM_1-251
45.79,26.24,3,2,0,0,1334.312775586906,1570.1792183849477,JPM_51-101
45.79,25.63,3,2,0,0,1326.4011698888405,1570.1792183849477,JPM_51-151
45.79,26.11,3,2,0,0,1332.6601918256054,1570.1792183849477,JPM_51-251
45.79,26.11,3,2,0,0,1332.6601918256054,1570.1792183849477,JPM_51-201
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_1-1
45.79,14.67,3,3,0,0,107.2416224287474,1570.1792183849477,JPM_101-51
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_101-101
45.79,20.18,9,8,0,0,258.59685248455156,1570.1792183849477,JPM_101-1
45.79,24.92,3,2,0,0,1317.2365918901426,1570.1792183849477,JPM_101-251
45.79,25.07,3,2,0,0,1319.205811096674,1570.1792183849477,JPM_101-151
45.79,24.92,3,2,0,0,1317.2365918901426,1570.1792183849477,JPM_101-201
45.79,15.74,3,3,0,0,116.61117877061665,1570.1792183849477,JPM_151-101
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_151-151
45.79,25.4,3,2,0,0,1323.4529087564895,1570.1792183849477,JPM_151-201
45.79,25.4,3,2,0,0,1323.4529087564895,1570.1792183849477,JPM_151-251
45.79,16.27,7,6,0,0,176.36800485900417,1570.1792183849477,JPM_151-1
45.79,14.79,3,3,0,0,108.24640297484271,1570.1792183849477,JPM_201-51
45.79,15.23,3,3,0,0,112.09052121923425,1570.1792183849477,JPM_151-51
45.79,22.02,8,7,0,0,133.52844684630043,1570.1792183849477,JPM_201-1
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_201-151
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_201-201
45.79,15.89,3,3,0,0,117.86707544744816,1570.1792183849477,JPM_201-101
45.79,25.4,3,2,0,0,1323.4529087564895,1570.1792183849477,JPM_201-251
45.79,11.73,3,3,0,0,86.53933534731733,1570.1792183849477,JPM_251-1
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_251-151
45.79,15.89,3,3,0,0,117.86707544744816,1570.1792183849477,JPM_251-101
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_251-201
45.79,14.79,3,3,0,0,108.24640297484271,1570.1792183849477,JPM_251-51
45.79,0.0,0,0,0,0,0.0,1570.1792183849477,JPM_251-251
45.79,15.89,3,3,0,0,117.86707544744816,1570.1792183849477,JPM_301-101
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_301-151
45.79,14.79,3,3,0,0,108.24640297484271,1570.1792183849477,JPM_301-51
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_301-201
45.79,11.73,3,3,0,0,86.53933534731733,1570.1792183849477,JPM_351-1
45.79,11.73,3,3,0,0,86.53933534731733,1570.1792183849477,JPM_301-1
45.79,15.89,3,3,0,0,117.86707544744816,1570.1792183849477,JPM_351-101
45.79,15.72,3,3,0,0,116.4039542500624,1570.1792183849477,JPM_351-51
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_301-251
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_351-151
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_351-251
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_351-201
45.79,11.73,3,3,0,0,86.53933534731733,1570.1792183849477,JPM_401-1
45.79,15.72,3,3,0,0,116.4039542500624,1570.1792183849477,JPM_401-51
45.79,15.89,3,3,0,0,117.86707544744816,1570.1792183849477,JPM_401-101
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_401-251
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_401-201
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_401-151
45.79,15.72,3,3,0,0,116.4039542500624,1570.1792183849477,JPM_451-51
45.79,11.73,3,3,0,0,86.53933534731733,1570.1792183849477,JPM_451-1
45.79,15.44,3,3,0,0,113.93585886531565,1570.1792183849477,JPM_451-101
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_451-151
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_451-251
45.79,15.72,3,3,0,0,116.40514540303946,1570.1792183849477,JPM_451-201
