Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
53.89,28.64,6,5,0,0,378.93763996556413,654.679546702922,KO_1-51
53.89,42.24,3,2,0,0,572.6166034684527,654.679546702922,KO_1-151
53.89,41.87,3,2,0,0,569.3007184671367,654.679546702922,KO_1-101
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_1-1
53.89,47.29,1,0,0,0,611.4675484075104,654.679546702922,KO_51-201
53.89,42.24,3,2,0,0,572.6166034684527,654.679546702922,KO_1-251
53.89,19.28,6,6,0,0,221.1100876806062,654.679546702922,KO_51-1
53.89,46.97,1,0,0,0,609.4696071539115,654.679546702922,KO_51-151
53.89,42.24,3,2,0,0,572.6166034684527,654.679546702922,KO_1-201
53.89,6.52,1,1,0,0,55.343741143427714,654.679546702922,KO_101-51
53.89,47.29,1,0,0,0,611.4675484075104,654.679546702922,KO_51-251
53.89,46.97,1,0,0,0,609.4696071539115,654.679546702922,KO_51-101
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_101-101
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_51-51
53.89,9.47,3,3,0,0,81.20102309010835,654.679546702922,KO_101-1
53.89,46.38,1,0,0,0,605.8808240925337,654.679546702922,KO_101-201
53.89,46.17,1,0,0,0,604.5739897253894,654.679546702922,KO_101-151
53.89,46.38,1,0,0,0,605.8808240925337,654.679546702922,KO_151-201
53.89,7.1,1,1,0,0,60.842004972667446,654.679546702922,KO_151-101
53.89,9.19,3,3,0,0,77.27230315437178,654.679546702922,KO_201-1
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_151-151
53.89,9.19,3,3,0,0,77.27230315437178,654.679546702922,KO_151-1
53.89,6.52,1,1,0,0,55.343741143427714,654.679546702922,KO_151-51
53.89,46.38,1,0,0,0,605.8808240925337,654.679546702922,KO_101-251
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_201-201
53.89,46.55,1,0,0,0,606.9143561707788,654.679546702922,KO_151-251
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_201-51
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_201-151
53.89,46.55,1,0,0,0,606.9143561707788,654.679546702922,KO_201-251
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_201-101
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_251-101
53.89,9.19,3,3,0,0,77.27230315437178,654.679546702922,KO_251-1
53.89,0.0,0,0,0,0,0.0,654.679546702922,KO_251-251
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_301-151
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_251-151
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_251-51
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_301-51
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_301-101
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_301-201
53.89,9.16,3,3,0,0,74.5753575744456,654.679546702922,KO_301-1
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_351-51
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_301-251
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_251-201
53.89,9.16,3,3,0,0,74.5753575744456,654.679546702922,KO_351-1
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_351-101
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_351-151
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_351-201
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_351-251
53.89,9.16,3,3,0,0,74.5753575744456,654.679546702922,KO_401-1
53.89,9.16,3,3,0,0,74.5753575744456,654.679546702922,KO_451-1
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_451-101
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_451-51
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_401-151
53.89,6.29,1,1,0,0,53.15903810122757,654.679546702922,KO_401-51
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_451-151
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_401-201
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_451-201
53.89,6.82,1,1,0,0,58.18692772088718,654.679546702922,KO_401-251
53.89,6.95,1,1,0,0,59.351629711724584,654.679546702922,KO_401-101
53.89,7.18,1,1,0,0,61.590005274134995,654.679546702922,KO_451-251
