Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_1-1
87.67,36.99,3,2,0,0,959.1553451268715,1638.3582972404236,LLY_51-101
87.67,51.66,4,3,0,0,1169.5080797469,1638.3582972404236,LLY_1-151
87.67,45.57,5,4,0,0,1113.9812873228816,1638.3582972404236,LLY_1-51
87.67,49.8,4,3,0,0,1141.470258250396,1638.3582972404236,LLY_1-101
87.67,27.1,5,5,0,0,340.11691436951713,1638.3582972404236,LLY_51-1
87.67,52.49,4,3,0,0,1179.5138141731932,1638.3582972404236,LLY_1-201
87.67,47.86,6,5,0,0,1122.494998965197,1638.3582972404236,LLY_1-251
87.67,32.86,3,2,0,0,911.3582724026011,1638.3582972404236,LLY_51-251
87.67,24.01,4,4,0,0,326.828976229291,1638.3582972404236,LLY_101-1
87.67,34.72,3,2,0,0,933.3943679922398,1638.3582972404236,LLY_51-151
87.67,36.14,3,3,0,0,544.9287024998704,1638.3582972404236,LLY_101-51
87.67,34.76,3,2,0,0,936.642772699769,1638.3582972404236,LLY_51-201
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_101-101
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_51-51
87.67,24.47,3,2,0,0,819.5707955507806,1638.3582972404236,LLY_101-151
87.67,23.58,3,2,0,0,810.9333332373421,1638.3582972404236,LLY_101-201
87.67,38.44,3,3,0,0,581.5779549025315,1638.3582972404236,LLY_151-51
87.67,49.83,3,3,0,0,777.6088671860329,1638.3582972404236,LLY_151-101
87.67,23.93,3,2,0,0,814.9388667719601,1638.3582972404236,LLY_151-251
87.67,22.48,4,4,0,0,298.92106073857826,1638.3582972404236,LLY_151-1
87.67,21.82,4,4,0,0,289.86734005850593,1638.3582972404236,LLY_201-1
87.67,24.99,3,2,0,0,819.8598225301275,1638.3582972404236,LLY_101-251
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_151-151
87.67,50.91,3,3,0,0,798.7763717711953,1638.3582972404236,LLY_201-101
87.67,23.12,3,2,0,0,810.5692209957018,1638.3582972404236,LLY_201-251
87.67,24.49,3,2,0,0,819.1695539481066,1638.3582972404236,LLY_151-201
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_201-201
87.67,49.82,3,3,0,0,782.9470364150825,1638.3582972404236,LLY_201-151
87.67,38.4,3,3,0,0,575.4662116608698,1638.3582972404236,LLY_201-51
87.67,24.63,6,6,0,0,331.5607808452001,1638.3582972404236,LLY_251-1
87.67,50.5,3,3,0,0,796.2407260835639,1638.3582972404236,LLY_251-151
87.67,49.22,3,3,0,0,784.6265265600168,1638.3582972404236,LLY_251-101
87.67,40.37,3,3,0,0,613.512080142013,1638.3582972404236,LLY_251-51
87.67,51.48,3,3,0,0,800.4773289982305,1638.3582972404236,LLY_251-201
87.67,0.0,0,0,0,0,0.0,1638.3582972404236,LLY_251-251
87.67,28.65,8,8,0,0,398.86571932839905,1638.3582972404236,LLY_301-1
87.67,51.33,3,3,0,0,813.192580995578,1638.3582972404236,LLY_301-151
87.67,27.56,6,6,0,0,384.3316968739983,1638.3582972404236,LLY_351-1
87.67,39.98,3,3,0,0,606.6125967530469,1638.3582972404236,LLY_301-51
87.67,51.76,3,3,0,0,806.5963913128674,1638.3582972404236,LLY_301-201
87.67,46.63,3,3,0,0,736.7541941033754,1638.3582972404236,LLY_351-51
87.67,48.79,3,3,0,0,775.7788767584408,1638.3582972404236,LLY_301-101
87.67,52.06,3,3,0,0,811.8491066808957,1638.3582972404236,LLY_351-151
87.67,48.56,3,3,0,0,771.3163675065152,1638.3582972404236,LLY_351-101
87.67,53.71,3,3,0,0,846.6676190827184,1638.3582972404236,LLY_351-201
87.67,50.78,3,3,0,0,786.5178674621781,1638.3582972404236,LLY_301-251
87.67,27.29,6,6,0,0,380.8972378928677,1638.3582972404236,LLY_401-1
87.67,51.55,3,3,0,0,802.1276184422678,1638.3582972404236,LLY_351-251
87.67,47.73,3,3,0,0,759.4049157516547,1638.3582972404236,LLY_401-51
87.67,49.61,3,3,0,0,778.6846901023088,1638.3582972404236,LLY_401-101
87.67,51.48,3,3,0,0,800.4773289982305,1638.3582972404236,LLY_401-151
87.67,52.24,3,3,0,0,816.5572815395468,1638.3582972404236,LLY_401-251
87.67,53.18,3,3,0,0,835.991570627139,1638.3582972404236,LLY_401-201
87.67,47.73,3,3,0,0,759.4049157516547,1638.3582972404236,LLY_451-51
87.67,28.86,6,6,0,0,404.2613704378198,1638.3582972404236,LLY_451-1
87.67,50.24,3,3,0,0,791.9769963692924,1638.3582972404236,LLY_451-101
87.67,53.26,3,3,0,0,837.3488693842539,1638.3582972404236,LLY_451-151
87.67,52.4,3,3,0,0,819.9404366950172,1638.3582972404236,LLY_451-251
87.67,49.97,3,3,0,0,769.2559222545467,1638.3582972404236,LLY_451-201
