Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
64.35,0.0,0,0,0,0,0.0,1367.7712053709163,MSFT_0-0
64.35,-30.57,0,0,1,0,973.2498938490913,1367.7712053709163,MSFT_30-230
64.35,-9.11,1,1,3,3,246.2256962866556,1367.7712053709163,MSFT_5-210
64.35,64.22,1,1,1,0,1169.8702971936716,1367.7712053709163,MSFT_15-115
64.35,-36.14,0,0,1,0,1071.6950956057785,1367.7712053709163,MSFT_40-135
64.35,40.11,1,0,0,0,1123.702065080261,1367.7712053709163,MSFT_25-20
64.35,37.24,1,0,0,0,1087.3634817874838,1367.7712053709163,MSFT_55-250
64.35,37.08,1,0,0,0,1085.135734718791,1367.7712053709163,MSFT_90-175
64.35,-36.78,0,0,1,0,1080.729213824069,1367.7712053709163,MSFT_65-155
64.35,-37.08,0,0,1,0,1085.7597507836774,1367.7712053709163,MSFT_115-195
64.35,34.72,1,0,0,0,1051.3528096439659,1367.7712053709163,MSFT_80-270
64.35,40.41,1,0,0,0,1129.000206239589,1367.7712053709163,MSFT_75-60
64.35,40.32,1,0,0,0,1127.7554814684083,1367.7712053709163,MSFT_50-40
64.35,-19.82,0,0,1,0,746.2097158742785,1367.7712053709163,MSFT_105-290
64.35,39.35,1,0,0,0,1129.9195213729088,1367.7712053709163,MSFT_100-80
64.35,35.53,1,0,0,0,1065.0526553937777,1367.7712053709163,MSFT_30-235
64.35,-1.13,4,4,2,2,85.3073005391694,1367.7712053709163,MSFT_5-215
64.35,-45.31,0,0,2,1,1064.3186416313042,1367.7712053709163,MSFT_15-120
64.35,-38.91,0,0,1,0,1122.2103074730053,1367.7712053709163,MSFT_40-140
64.35,-33.77,0,0,1,0,1046.4416510677552,1367.7712053709163,MSFT_25-25
64.35,-36.43,0,0,1,0,1077.4010570948315,1367.7712053709163,MSFT_65-160
64.35,34.26,1,0,0,0,1043.926053020508,1367.7712053709163,MSFT_55-255
64.35,32.97,1,0,1,0,1020.8579501807183,1367.7712053709163,MSFT_80-275
64.35,33.89,1,0,0,0,1036.2566189873774,1367.7712053709163,MSFT_90-180
64.35,-17.89,45,45,36,36,293.1929533814499,1367.7712053709163,MSFT_0-5
64.35,-37.35,0,0,1,0,1089.1475012176834,1367.7712053709163,MSFT_115-200
64.35,37.62,1,0,0,0,1092.1148208618704,1367.7712053709163,MSFT_75-65
64.35,40.43,1,0,0,0,1129.2068531777752,1367.7712053709163,MSFT_50-45
64.35,-33.21,0,0,1,0,1024.9922407832048,1367.7712053709163,MSFT_105-295
64.35,20.34,1,0,0,0,757.5999747049843,1367.7712053709163,MSFT_100-85
64.35,3.77,1,1,2,2,102.18920566868775,1367.7712053709163,MSFT_5-220
64.35,37.16,1,0,0,0,1093.0180574318565,1367.7712053709163,MSFT_30-240
64.35,47.02,2,1,0,0,1152.5762122980461,1367.7712053709163,MSFT_15-125
64.35,-36.3,0,0,1,0,1075.7313700766488,1367.7712053709163,MSFT_40-145
64.35,-34.21,0,0,1,0,1051.6364371603854,1367.7712053709163,MSFT_25-30
64.35,-33.44,0,0,1,0,1030.1141003098805,1367.7712053709163,MSFT_65-165
64.35,36.21,1,0,0,0,1076.6424121697135,1367.7712053709163,MSFT_80-280
64.35,-40.39,0,0,1,0,1127.2971217264103,1367.7712053709163,MSFT_55-260
64.35,39.99,1,0,0,0,1123.2945515288186,1367.7712053709163,MSFT_75-70
64.35,37.68,1,0,0,0,1101.3139367487054,1367.7712053709163,MSFT_90-185
64.35,-7.01,20,20,19,19,111.56309273395989,1367.7712053709163,MSFT_0-10
64.35,-37.05,0,0,1,0,1085.3392243946453,1367.7712053709163,MSFT_50-50
64.35,-31.25,0,0,1,0,987.8672766959072,1367.7712053709163,MSFT_105-300
64.35,53.49,1,1,1,1,1146.5699635636522,1367.7712053709163,MSFT_15-130
64.35,-3.65,3,3,0,0,67.83799853208748,1367.7712053709163,MSFT_5-225
64.35,39.24,1,0,0,0,1113.0845886682869,1367.7712053709163,MSFT_100-90
64.35,-37.47,0,0,1,0,1090.650317830856,1367.7712053709163,MSFT_115-205
64.35,37.2,1,0,0,0,1086.7994741942555,1367.7712053709163,MSFT_30-245
64.35,-36.82,0,0,1,0,1081.3746949455094,1367.7712053709163,MSFT_40-150
64.35,35.52,1,0,0,0,1066.905646249706,1367.7712053709163,MSFT_25-35
64.35,-32.6,0,0,1,0,1015.8817022394595,1367.7712053709163,MSFT_65-170
64.35,-40.87,0,0,1,0,1133.5397880355208,1367.7712053709163,MSFT_55-265
64.35,39.75,2,0,0,0,1119.9741513141546,1367.7712053709163,MSFT_75-75
64.35,15.41,0,0,1,0,196.4848929393621,1367.7712053709163,MSFT_80-285
64.35,-7.81,12,12,20,20,124.55450751382209,1367.7712053709163,MSFT_0-15
64.35,0.0,0,0,0,0,0.0,1367.7712053709163,MSFT_110-0
64.35,-37.08,0,0,1,0,1085.6742695715507,1367.7712053709163,MSFT_50-55
64.35,3.22,2,2,3,3,154.4958186890636,1367.7712053709163,MSFT_5-230
64.35,39.15,1,0,0,0,1111.7874353424338,1367.7712053709163,MSFT_100-95
64.35,-56.03,1,0,1,1,1149.5810327823242,1367.7712053709163,MSFT_15-135
64.35,37.24,1,0,0,0,1087.3634817874838,1367.7712053709163,MSFT_30-250
64.35,-33.1,0,0,1,0,1023.1199621178226,1367.7712053709163,MSFT_90-190
64.35,-36.78,0,0,1,0,1080.729213824069,1367.7712053709163,MSFT_40-155
64.35,37.08,1,0,0,0,1085.135734718791,1367.7712053709163,MSFT_65-175
64.35,40.32,1,0,0,0,1127.7554814684083,1367.7712053709163,MSFT_25-40
64.35,-33.85,0,0,1,0,1037.9463254325954,1367.7712053709163,MSFT_115-210
64.35,39.35,1,0,0,0,1129.9195213729088,1367.7712053709163,MSFT_75-80
64.35,34.72,1,0,0,0,1051.3528096439659,1367.7712053709163,MSFT_55-270
64.35,-7.35,15,15,14,14,144.76186941798127,1367.7712053709163,MSFT_0-20
64.35,1.55,3,3,2,2,257.9274056123232,1367.7712053709163,MSFT_5-235
64.35,33.15,1,0,0,0,1039.29992929241,1367.7712053709163,MSFT_110-5
64.35,-19.82,0,0,1,0,746.2097158742785,1367.7712053709163,MSFT_80-290
64.35,34.26,1,0,0,0,1043.926053020508,1367.7712053709163,MSFT_30-255
64.35,-31.55,0,0,1,0,997.5193413852327,1367.7712053709163,MSFT_100-100
64.35,-60.4,1,0,1,1,1210.6940048788142,1367.7712053709163,MSFT_15-140
64.35,-36.43,0,0,1,0,1077.4010570948315,1367.7712053709163,MSFT_40-160
64.35,-37.08,0,0,1,0,1085.7597507836774,1367.7712053709163,MSFT_90-195
64.35,40.41,1,0,0,0,1129.000206239589,1367.7712053709163,MSFT_50-60
64.35,40.43,1,0,0,0,1129.2068531777752,1367.7712053709163,MSFT_25-45
64.35,33.89,1,0,0,0,1036.2566189873774,1367.7712053709163,MSFT_65-180
64.35,20.34,1,0,0,0,757.5999747049843,1367.7712053709163,MSFT_75-85
