Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
613.21,-26.36,3,3,4,4,726.6105218687892,9272.596644407637,TSLA_5-210
613.21,-100.4,0,0,1,1,2199.063349458492,9272.596644407637,TSLA_25-20
613.21,0.0,0,0,0,0,0.0,9272.596644407637,TSLA_0-0
613.21,-100.4,0,0,1,1,2263.768461455138,9272.596644407637,TSLA_15-115
613.21,-130.72,0,0,1,0,2522.4661175378656,9272.596644407637,TSLA_40-135
613.21,-232.34,0,0,1,0,4058.2379600256572,9272.596644407637,TSLA_50-40
613.21,140.65,1,0,0,0,2685.088541052846,9272.596644407637,TSLA_65-155
613.21,-234.66,0,0,1,0,4090.1229311359393,9272.596644407637,TSLA_55-250
613.21,73.99,1,0,1,1,1553.8914607695517,9272.596644407637,TSLA_30-230
613.21,-236.87,0,0,1,0,4122.850456449294,9272.596644407637,TSLA_75-60
613.21,237.6,1,0,0,0,4136.407848090999,9272.596644407637,TSLA_100-80
613.21,-59.78,0,0,1,0,1293.1513173181138,9272.596644407637,TSLA_90-175
613.21,-45.04,0,0,1,0,1064.7014838380264,9272.596644407637,TSLA_105-290
613.21,-239.33,0,0,1,0,4161.94175335155,9272.596644407637,TSLA_80-270
613.21,-21.39,7,7,3,3,409.61923769977034,9272.596644407637,TSLA_5-215
613.21,-100.4,0,0,1,1,2210.5812294679868,9272.596644407637,TSLA_25-25
613.21,-100.4,0,0,1,1,2266.699975884036,9272.596644407637,TSLA_15-120
613.21,-148.01,0,0,1,0,2802.916174761368,9272.596644407637,TSLA_115-195
613.21,142.32,1,0,0,0,2712.5774618278256,9272.596644407637,TSLA_40-140
613.21,234.05,1,0,0,0,4082.4672128702664,9272.596644407637,TSLA_50-45
613.21,-51.42,0,0,1,0,1170.1161682466213,9272.596644407637,TSLA_65-160
613.21,-10.2,46,46,47,47,156.50921660093962,9272.596644407637,TSLA_0-5
613.21,-246.95,0,0,1,0,4275.141641581744,9272.596644407637,TSLA_55-255
613.21,-241.18,0,0,1,0,4189.444931636797,9272.596644407637,TSLA_75-65
613.21,169.94,1,0,0,0,3143.452886543171,9272.596644407637,TSLA_100-85
613.21,136.67,2,1,0,0,2606.63281180723,9272.596644407637,TSLA_30-235
613.21,-240.56,0,0,1,0,4180.564053937243,9272.596644407637,TSLA_90-180
613.21,-161.81,0,0,1,0,3015.6831942183826,9272.596644407637,TSLA_105-295
613.21,-242.12,0,0,1,0,4203.59352556139,9272.596644407637,TSLA_80-275
613.21,-229.37,0,0,1,0,4015.750222935935,9272.596644407637,TSLA_50-50
613.21,218.33,3,1,0,0,3816.707562849245,9272.596644407637,TSLA_25-30
613.21,-72.11,1,1,1,1,1582.644293352934,9272.596644407637,TSLA_15-125
613.21,-242.08,0,0,1,0,4202.203140919746,9272.596644407637,TSLA_115-200
613.21,-12.7,5,5,5,5,597.1680163631286,9272.596644407637,TSLA_5-220
613.21,-139.83,0,0,1,0,2670.648391835859,9272.596644407637,TSLA_40-145
613.21,-131.61,0,0,1,0,2536.8750806976473,9272.596644407637,TSLA_65-165
613.21,-15.46,21,21,31,31,238.48138367750656,9272.596644407637,TSLA_0-10
613.21,-241.95,0,0,1,0,4201.0533872616215,9272.596644407637,TSLA_55-260
613.21,-234.08,0,0,1,0,4082.8318805708855,9272.596644407637,TSLA_75-70
613.21,-240.71,0,0,1,0,4178.063721260954,9272.596644407637,TSLA_100-90
613.21,-100.4,0,0,1,1,2236.65462683986,9272.596644407637,TSLA_30-240
613.21,-19.59,0,0,1,0,808.6450805350484,9272.596644407637,TSLA_105-300
613.21,-146.29,0,0,1,0,2777.98016077216,9272.596644407637,TSLA_80-280
613.21,-141.68,0,0,1,0,2700.6435359774846,9272.596644407637,TSLA_90-185
613.21,-100.4,0,0,1,1,2199.0529819600306,9272.596644407637,TSLA_25-35
613.21,-72.72,2,1,4,4,1677.184492520794,9272.596644407637,TSLA_15-130
613.21,232.67,1,0,0,0,4062.5743263203112,9272.596644407637,TSLA_50-55
613.21,-6.51,4,4,4,3,160.1214754549404,9272.596644407637,TSLA_5-225
613.21,-131.17,0,0,1,0,2530.010354141629,9272.596644407637,TSLA_40-150
613.21,0.27,13,13,18,18,76.4691991928734,9272.596644407637,TSLA_0-15
613.21,-231.8,0,0,1,0,4051.5344199098654,9272.596644407637,TSLA_65-170
613.21,139.06,1,0,0,0,2658.9689448083677,9272.596644407637,TSLA_115-205
613.21,-235.14,0,0,1,0,4098.085009721921,9272.596644407637,TSLA_75-75
613.21,-250.55,0,0,1,0,4328.532082464846,9272.596644407637,TSLA_55-265
613.21,-228.3,0,0,1,0,4000.2874439903626,9272.596644407637,TSLA_100-95
613.21,-100.4,0,0,1,1,2227.1758109663374,9272.596644407637,TSLA_25-40
613.21,0.0,0,0,0,0,0.0,9272.596644407637,TSLA_110-0
613.21,-69.09,4,3,2,2,1509.6410104148933,9272.596644407637,TSLA_15-135
613.21,-236.87,0,0,1,0,4122.850456449294,9272.596644407637,TSLA_50-60
613.21,-100.4,0,0,1,1,2268.26601429036,9272.596644407637,TSLA_30-245
613.21,-135.73,0,0,1,0,2607.3578295176317,9272.596644407637,TSLA_80-285
613.21,-234.7,0,0,1,0,4094.045523958095,9272.596644407637,TSLA_90-190
613.21,27.58,4,4,1,1,278.1974258244455,9272.596644407637,TSLA_5-230
613.21,140.65,1,0,0,0,2685.088541052846,9272.596644407637,TSLA_40-155
613.21,-0.06,18,18,18,18,91.94654059592028,9272.596644407637,TSLA_0-20
613.21,-59.78,0,0,1,0,1293.1513173181138,9272.596644407637,TSLA_65-175
613.21,-253.09,0,0,1,0,4363.752136133902,9272.596644407637,TSLA_115-210
613.21,237.6,1,0,0,0,4136.407848090999,9272.596644407637,TSLA_75-80
613.21,-239.33,0,0,1,0,4161.94175335155,9272.596644407637,TSLA_55-270
613.21,266.47,2,1,1,0,4660.349242794112,9272.596644407637,TSLA_25-45
