Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
96.68,0.0,0,0,0,0,0.0,1302.1708446436917,UNH_0-0
96.68,-74.15,0,0,1,0,1102.3104203939224,1302.1708446436917,UNH_40-135
96.68,-35.78,0,0,2,2,780.9550047337511,1302.1708446436917,UNH_15-115
96.68,85.68,1,0,0,0,1251.26640299617,1302.1708446436917,UNH_25-20
96.68,61.67,1,0,0,0,930.3597420291886,1302.1708446436917,UNH_30-230
96.68,-76.22,0,0,1,0,1126.885449126552,1302.1708446436917,UNH_65-155
96.68,-1.09,0,0,5,5,53.9900809713741,1302.1708446436917,UNH_5-210
96.68,63.04,1,0,0,0,946.0177295979548,1302.1708446436917,UNH_50-40
96.68,-21.57,0,0,1,0,246.37834945449472,1302.1708446436917,UNH_55-250
96.68,-64.59,0,0,1,0,968.8757439714161,1302.1708446436917,UNH_80-270
96.68,-77.1,0,0,1,0,1137.3681426463463,1302.1708446436917,UNH_90-175
96.68,75.03,1,0,0,0,1112.720192440925,1302.1708446436917,UNH_100-80
96.68,-34.08,0,0,1,0,458.7702901859984,1302.1708446436917,UNH_105-290
96.68,-57.14,0,0,1,0,860.8094995306392,1302.1708446436917,UNH_115-195
96.68,-72.56,0,0,1,0,1085.5605869942995,1302.1708446436917,UNH_75-60
96.68,-76.35,0,0,1,0,1128.4418427084643,1302.1708446436917,UNH_65-160
96.68,-76.42,0,0,1,0,1129.5433213424521,1302.1708446436917,UNH_40-140
96.68,-12.74,22,22,16,16,161.2320998589886,1302.1708446436917,UNH_0-5
96.68,-6.15,0,0,4,4,125.85556473094209,1302.1708446436917,UNH_5-215
96.68,-60.36,0,0,1,0,907.8422679542361,1302.1708446436917,UNH_30-235
96.68,78.5,1,0,0,0,1155.8866640948895,1302.1708446436917,UNH_25-25
96.68,31.73,2,2,0,0,703.7492094145744,1302.1708446436917,UNH_15-120
96.68,-78.77,0,0,1,0,1157.2325575381508,1302.1708446436917,UNH_55-255
96.68,76.06,1,0,0,0,1124.888662583292,1302.1708446436917,UNH_50-45
96.68,-68.17,0,0,1,0,1015.984081410582,1302.1708446436917,UNH_100-85
96.68,-58.98,0,0,1,0,887.8149596438392,1302.1708446436917,UNH_90-180
96.68,-57.99,0,0,1,0,874.4294384092625,1302.1708446436917,UNH_80-275
96.68,-35.59,0,0,1,0,484.4060708990794,1302.1708446436917,UNH_105-295
96.68,-76.48,0,0,1,0,1129.9279758397972,1302.1708446436917,UNH_65-165
96.68,0.24,3,3,2,2,195.22451198097158,1302.1708446436917,UNH_5-220
96.68,-8.78,13,13,16,16,128.3110816100338,1302.1708446436917,UNH_0-10
96.68,-75.7,0,0,1,0,1120.713700811906,1302.1708446436917,UNH_40-145
96.68,76.36,1,0,0,0,1128.488826275826,1302.1708446436917,UNH_75-65
96.68,-76.67,0,0,1,0,1132.4698566494278,1302.1708446436917,UNH_30-240
96.68,-33.46,0,0,1,0,451.0787688325002,1302.1708446436917,UNH_115-200
96.68,-6.07,2,1,1,1,317.21983430783007,1302.1708446436917,UNH_15-125
