Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-0
26.67,-27.25,5,4,0,0,362.3957896011224,455.03510953296325,V_2-15
26.67,-20.65,13,12,0,0,386.92656054014594,455.03510953296325,V_4-5
26.67,-15.73,7,6,0,0,240.6365718657144,455.03510953296325,V_1-20
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-25
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-0
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-25
26.67,18.42,5,4,0,0,448.2128590432869,455.03510953296325,V_9-5
26.67,-12.98,4,3,0,0,201.95285970258126,455.03510953296325,V_3-10
26.67,-7.05,6,5,0,0,212.86429897303384,455.03510953296325,V_8-10
26.67,-4.92,1,0,0,0,103.56704675722565,455.03510953296325,V_7-15
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-0
26.67,-0.5,1,0,0,0,23.119563243663976,455.03510953296325,V_11-20
26.67,-13.19,2,2,0,0,153.48492512357217,455.03510953296325,V_6-20
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-25
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-1
26.67,-13.77,8,7,0,0,322.8722527216868,455.03510953296325,V_4-6
26.67,-9.21,5,4,0,0,311.27992174871895,455.03510953296325,V_1-21
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-26
26.67,32.12,8,7,0,0,639.6723846020063,455.03510953296325,V_9-6
26.67,50.31,15,15,0,0,747.1721409860413,455.03510953296325,V_5-1
26.67,-6.28,1,0,0,0,119.01003476489934,455.03510953296325,V_7-16
26.67,-21.88,4,3,0,0,280.1992604828704,455.03510953296325,V_2-16
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-26
26.67,-5.43,5,4,0,0,157.61735507570089,455.03510953296325,V_8-11
26.67,-3.94,1,0,0,0,31.338901754923494,455.03510953296325,V_11-21
26.67,-10.64,4,3,0,0,186.986525279192,455.03510953296325,V_3-11
26.67,-17.72,2,2,0,0,211.16849408150043,455.03510953296325,V_6-21
26.67,27.77,11,10,0,0,371.1000414659996,455.03510953296325,V_10-1
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-26
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-2
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-27
26.67,56.34,11,11,0,0,712.5959130801447,455.03510953296325,V_5-2
26.67,-10.4,7,6,0,0,226.43252215390476,455.03510953296325,V_4-7
26.67,39.51,6,5,0,0,544.9346033228345,455.03510953296325,V_9-7
26.67,-6.32,4,4,0,0,288.4519464419087,455.03510953296325,V_1-22
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-27
26.67,-4.46,1,0,0,0,98.5785329472653,455.03510953296325,V_7-17
26.67,-4.3,4,3,0,0,158.18882374002249,455.03510953296325,V_8-12
26.67,-3.31,1,0,0,0,27.2940234948411,455.03510953296325,V_11-22
26.67,-3.02,2,2,0,0,75.5626678253288,455.03510953296325,V_6-22
26.67,-21.45,4,3,0,0,276.84602656322585,455.03510953296325,V_2-17
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-27
26.67,-7.41,4,3,0,0,173.24790951482242,455.03510953296325,V_3-12
26.67,26.54,4,4,0,0,361.2029514844785,455.03510953296325,V_10-2
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-3
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-28
26.67,27.04,9,8,0,0,345.7690582406313,455.03510953296325,V_9-8
26.67,-3.87,7,6,0,0,219.55389407897627,455.03510953296325,V_4-8
26.67,-7.12,4,4,0,0,271.3434064545578,455.03510953296325,V_1-23
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-28
26.67,63.74,10,10,0,0,794.4273940104697,455.03510953296325,V_5-3
26.67,-5.0,3,2,0,0,175.87227623127023,455.03510953296325,V_8-13
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_6-23
26.67,-2.12,1,0,0,0,77.42426837123818,455.03510953296325,V_7-18
26.67,-4.91,1,0,0,0,37.68826779021536,455.03510953296325,V_11-23
26.67,-16.46,4,3,0,0,242.3471375342901,455.03510953296325,V_2-18
26.67,-4.56,4,3,0,0,180.7003077551357,455.03510953296325,V_3-13
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-4
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-28
26.67,-6.38,4,3,0,0,174.9687252435193,455.03510953296325,V_4-9
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_9-9
26.67,29.52,4,4,0,0,481.51387130461353,455.03510953296325,V_10-3
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-29
26.67,-12.97,5,5,0,0,319.8715263926779,455.03510953296325,V_1-24
26.67,4.03,3,2,0,0,213.4734574419653,455.03510953296325,V_8-14
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-29
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_6-24
26.67,-9.4,2,1,0,0,128.35380599264786,455.03510953296325,V_7-19
26.67,-20.23,5,4,0,0,296.2386711632752,455.03510953296325,V_3-14
26.67,0.35,1,0,0,0,7.592151360667764,455.03510953296325,V_11-24
26.67,36.44,13,13,0,0,606.3107719848994,455.03510953296325,V_5-4
26.67,-12.16,4,3,0,0,232.73199051604917,455.03510953296325,V_2-19
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_0-5
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_10-29
26.67,15.86,4,4,0,0,299.4465256730874,455.03510953296325,V_10-4
26.67,-9.89,7,6,0,0,201.93188294514025,455.03510953296325,V_9-10
26.67,-5.73,4,3,0,0,165.2951389455096,455.03510953296325,V_4-10
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_6-0
26.67,1.27,2,1,0,0,210.83274842933054,455.03510953296325,V_8-15
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_1-0
26.67,-12.31,2,1,0,0,147.25332365156214,455.03510953296325,V_7-20
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_11-25
26.67,-14.09,5,5,0,0,312.0938458999174,455.03510953296325,V_1-25
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_6-25
26.67,-13.25,4,3,0,0,232.88982312070362,455.03510953296325,V_2-20
26.67,-21.86,5,4,0,0,346.5018330569416,455.03510953296325,V_3-15
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_11-0
26.67,0.0,0,0,0,0,0.0,455.03510953296325,V_5-5
